,index,wid,game,image,responses,remembered_outcome,category_1,category_2,outcome,outcome_mem_difference,item
82,82,w47f6859,4,Animal_Green,"{""Q0"":""+4""}",4.0,Animal,Green,-5,-9.0,Animal_Green
83,83,w47f6859,4,Object_Blue,"{""Q0"":""-6""}",-6.0,Object,Blue,-6,0.0,Object_Blue
84,84,w47f6859,5,Object_Yellow,"{""Q0"":""-7""}",-7.0,Object,Yellow,-4,3.0,Object_Yellow
85,85,w47f6859,5,Object_Red,"{""Q0"":""+9""}",9.0,Object,Red,9,0.0,Object_Red
86,86,w47f6859,5,Object_Blue,"{""Q0"":""-3""}",-3.0,Object,Blue,-7,-4.0,Object_Blue
87,87,w47f6859,5,Animal_Yellow,"{""Q0"":""""}",,Animal,Yellow,2,,Animal_Yellow
88,88,w47f6859,5,Animal_Red,"{""Q0"":""+9""}",9.0,Animal,Red,-5,-14.0,Animal_Red
89,89,w47f6859,5,Food_Yellow,"{""Q0"":""-2""}",-2.0,Food,Yellow,3,5.0,Food_Yellow
90,90,w488be27,1,Object_Yellow,"{""Q0"":""-5""}",-5.0,Object,Yellow,-5,0.0,Object_Yellow
91,91,w488be27,1,Object_Green,"{""Q0"":""+7""}",7.0,Object,Green,7,0.0,Object_Green
92,92,w488be27,1,Object_Blue,"{""Q0"":""-6""}",-6.0,Object,Blue,-6,0.0,Object_Blue
93,93,w488be27,1,Scene_Yellow,"{""Q0"":""""}",,Scene,Yellow,4,,Scene_Yellow
94,94,w488be27,1,Scene_Green,"{""Q0"":""-1""}",-1.0,Scene,Green,-1,0.0,Scene_Green
95,95,w488be27,1,Animal_Yellow,"{""Q0"":""+2""}",2.0,Animal,Yellow,2,0.0,Animal_Yellow
96,96,w488be27,2,Object_Blue,"{""Q0"":""+7""}",7.0,Object,Blue,8,1.0,Object_Blue
97,97,w488be27,2,Object_Red,"{""Q0"":""""}",,Object,Red,-9,,Object_Red
98,98,w488be27,2,Object_Green,"{""Q0"":""""}",,Object,Green,6,,Object_Green
99,99,w488be27,2,Animal_Blue,"{""Q0"":""""}",,Animal,Blue,-4,,Animal_Blue
100,100,w488be27,2,Animal_Red,"{""Q0"":""+6""}",6.0,Animal,Red,3,-3.0,Animal_Red
101,101,w488be27,2,Food_Blue,"{""Q0"":""-7""}",-7.0,Food,Blue,-7,0.0,Food_Blue
102,102,w488be27,3,Scene_Yellow,"{""Q0"":""-2""}",-2.0,Scene,Yellow,6,8.0,Scene_Yellow
103,103,w488be27,3,Scene_Red,"{""Q0"":""-1""}",-1.0,Scene,Red,-3,-2.0,Scene_Red
104,104,w488be27,3,Scene_Blue,"{""Q0"":""+5""}",5.0,Scene,Blue,-5,-10.0,Scene_Blue
105,105,w488be27,3,Object_Yellow,"{""Q0"":""-7""}",-7.0,Object,Yellow,-7,0.0,Object_Yellow
106,106,w488be27,3,Object_Red,"{""Q0"":""""}",,Object,Red,2,,Object_Red
107,107,w488be27,3,Food_Yellow,"{""Q0"":""+4""}",4.0,Food,Yellow,4,0.0,Food_Yellow
108,108,w488be27,4,Animal_Blue,"{""Q0"":""""}",,Animal,Blue,6,,Animal_Blue
109,109,w488be27,4,Animal_Green,"{""Q0"":""-8""}",-8.0,Animal,Green,-8,0.0,Animal_Green
110,110,w488be27,4,Animal_Yellow,"{""Q0"":""""}",,Animal,Yellow,3,,Animal_Yellow
111,111,w488be27,4,Food_Blue,"{""Q0"":""""}",,Food,Blue,-5,,Food_Blue
112,112,w488be27,4,Food_Green,"{""Q0"":""+6""}",6.0,Food,Green,9,3.0,Food_Green
113,113,w488be27,4,Scene_Blue,"{""Q0"":""-5""}",-5.0,Scene,Blue,-4,1.0,Scene_Blue
114,114,w488be27,5,Food_Green,"{""Q0"":""""}",,Food,Green,8,,Food_Green
115,115,w488be27,5,Food_Red,"{""Q0"":""+6""}",6.0,Food,Red,-6,-12.0,Food_Red
116,116,w488be27,5,Food_Yellow,"{""Q0"":""""}",,Food,Yellow,-5,,Food_Yellow
117,117,w488be27,5,Scene_Green,"{""Q0"":""""}",,Scene,Green,-9,,Scene_Green
118,118,w488be27,5,Scene_Red,"{""Q0"":""""}",,Scene,Red,3,,Scene_Red
119,119,w488be27,5,Animal_Green,"{""Q0"":""""}",,Animal,Green,7,,Animal_Green
120,150,w973f72a,1,Object_Red,"{""Q0"":""+3""}",3.0,Object,Red,-5,-8.0,Object_Red
121,151,w973f72a,1,Object_Yellow,"{""Q0"":""+3""}",3.0,Object,Yellow,4,1.0,Object_Yellow
122,152,w973f72a,1,Object_Green,"{""Q0"":""+3""}",3.0,Object,Green,3,0.0,Object_Green
123,153,w973f72a,1,Scene_Red,"{""Q0"":""+9""}",9.0,Scene,Red,9,0.0,Scene_Red
124,154,w973f72a,1,Scene_Yellow,"{""Q0"":""+2""}",2.0,Scene,Yellow,-6,-8.0,Scene_Yellow
125,155,w973f72a,1,Food_Red,"{""Q0"":""-3""}",-3.0,Food,Red,-7,-4.0,Food_Red
126,156,w973f72a,2,Food_Blue,"{""Q0"":""-3""}",-3.0,Food,Blue,-4,-1.0,Food_Blue
127,157,w973f72a,2,Food_Red,"{""Q0"":""+7""}",7.0,Food,Red,7,0.0,Food_Red
128,158,w973f72a,2,Food_Yellow,"{""Q0"":""-3""}",-3.0,Food,Yellow,-6,-3.0,Food_Yellow
129,159,w973f72a,2,Animal_Blue,"{""Q0"":""+3""}",3.0,Animal,Blue,3,0.0,Animal_Blue
130,160,w973f72a,2,Animal_Red,"{""Q0"":""-5""}",-5.0,Animal,Red,-5,0.0,Animal_Red
131,161,w973f72a,2,Object_Blue,"{""Q0"":""+2""}",2.0,Object,Blue,2,0.0,Object_Blue
132,162,w973f72a,3,Food_Green,"{""Q0"":""-""}",,Food,Green,8,,Food_Green
133,163,w973f72a,3,Food_Yellow,"{""Q0"":""-""}",,Food,Yellow,-6,,Food_Yellow
134,164,w973f72a,3,Food_Blue,"{""Q0"":""-2""}",-2.0,Food,Blue,-7,-5.0,Food_Blue
135,165,w973f72a,3,Animal_Green,"{""Q0"":""+""}",,Animal,Green,-9,,Animal_Green
136,166,w973f72a,3,Animal_Yellow,"{""Q0"":""+2""}",2.0,Animal,Yellow,2,0.0,Animal_Yellow
137,167,w973f72a,3,Scene_Green,"{""Q0"":""+""}",,Scene,Green,5,,Scene_Green
138,168,w973f72a,4,Scene_Green,"{""Q0"":""+7""}",7.0,Scene,Green,3,-4.0,Scene_Green
139,169,w973f72a,4,Scene_Yellow,"{""Q0"":""-2""}",-2.0,Scene,Yellow,2,4.0,Scene_Yellow
140,170,w973f72a,4,Scene_Blue,"{""Q0"":""-5""}",-5.0,Scene,Blue,-4,1.0,Scene_Blue
141,171,w973f72a,4,Animal_Green,"{""Q0"":""+3""}",3.0,Animal,Green,6,3.0,Animal_Green
142,172,w973f72a,4,Animal_Yellow,"{""Q0"":""-2""}",-2.0,Animal,Yellow,-5,-3.0,Animal_Yellow
143,173,w973f72a,4,Food_Green,"{""Q0"":""-""}",,Food,Green,-8,,Food_Green
144,174,w973f72a,5,Object_Blue,"{""Q0"":""-2""}",-2.0,Object,Blue,-5,-3.0,Object_Blue
145,175,w973f72a,5,Object_Red,"{""Q0"":""-4""}",-4.0,Object,Red,-3,1.0,Object_Red
146,176,w973f72a,5,Object_Green,"{""Q0"":""+3""}",3.0,Object,Green,7,4.0,Object_Green
147,177,w973f72a,5,Scene_Blue,"{""Q0"":""+2""}",2.0,Scene,Blue,-4,-6.0,Scene_Blue
148,178,w973f72a,5,Scene_Red,"{""Q0"":""+7""}",7.0,Scene,Red,2,-5.0,Scene_Red
149,179,w973f72a,5,Animal_Blue,"{""Q0"":""+""}",,Animal,Blue,6,,Animal_Blue
150,180,wd7d7085,1,Scene_Yellow,"{""Q0"":""+5""}",5.0,Scene,Yellow,-6,-11.0,Scene_Yellow
151,181,wd7d7085,1,Scene_Red,"{""Q0"":""-4""}",-4.0,Scene,Red,-4,0.0,Scene_Red
152,182,wd7d7085,1,Scene_Green,"{""Q0"":""-4""}",-4.0,Scene,Green,9,13.0,Scene_Green
153,183,wd7d7085,1,Object_Yellow,"{""Q0"":""+5""}",5.0,Object,Yellow,-7,-12.0,Object_Yellow
154,184,wd7d7085,1,Object_Red,"{""Q0"":""+3""}",3.0,Object,Red,3,0.0,Object_Red
155,185,wd7d7085,1,Animal_Yellow,"{""Q0"":""+3""}",3.0,Animal,Yellow,8,5.0,Animal_Yellow
156,186,wd7d7085,2,Scene_Yellow,"{""Q0"":""-5""}",-5.0,Scene,Yellow,4,9.0,Scene_Yellow
157,187,wd7d7085,2,Scene_Blue,"{""Q0"":""-4""}",-4.0,Scene,Blue,2,6.0,Scene_Blue
158,188,wd7d7085,2,Scene_Red,"{""Q0"":""-7""}",-7.0,Scene,Red,-5,2.0,Scene_Red
159,189,wd7d7085,2,Food_Yellow,"{""Q0"":""+8""}",8.0,Food,Yellow,8,0.0,Food_Yellow
160,190,wd7d7085,2,Food_Blue,"{""Q0"":""+3""}",3.0,Food,Blue,-1,-4.0,Food_Blue
161,191,wd7d7085,2,Object_Yellow,"{""Q0"":""-9""}",-9.0,Object,Yellow,-9,0.0,Object_Yellow
162,192,wd7d7085,3,Food_Blue,"{""Q0"":""+9""}",9.0,Food,Blue,-8,-17.0,Food_Blue
163,193,wd7d7085,3,Food_Red,"{""Q0"":""+7""}",7.0,Food,Red,9,2.0,Food_Red
164,194,wd7d7085,3,Food_Green,"{""Q0"":""+3""}",3.0,Food,Green,-4,-7.0,Food_Green
165,195,wd7d7085,3,Animal_Blue,"{""Q0"":""+8""}",8.0,Animal,Blue,3,-5.0,Animal_Blue
166,196,wd7d7085,3,Animal_Red,"{""Q0"":""-6""}",-6.0,Animal,Red,-7,-1.0,Animal_Red
167,197,wd7d7085,3,Scene_Blue,"{""Q0"":""-4""}",-4.0,Scene,Blue,6,10.0,Scene_Blue
168,198,wd7d7085,4,Animal_Green,"{""Q0"":""+7""}",7.0,Animal,Green,-3,-10.0,Animal_Green
169,199,wd7d7085,4,Animal_Blue,"{""Q0"":""+8""}",8.0,Animal,Blue,-8,-16.0,Animal_Blue
170,200,wd7d7085,4,Animal_Yellow,"{""Q0"":""+8""}",8.0,Animal,Yellow,9,1.0,Animal_Yellow
171,201,wd7d7085,4,Object_Green,"{""Q0"":""-5""}",-5.0,Object,Green,-5,0.0,Object_Green
172,202,wd7d7085,4,Object_Blue,"{""Q0"":""+7""}",7.0,Object,Blue,4,-3.0,Object_Blue
173,203,wd7d7085,4,Food_Green,"{""Q0"":""+7""}",7.0,Food,Green,7,0.0,Food_Green
174,204,wd7d7085,5,Object_Green,"{""Q0"":""+5""}",5.0,Object,Green,3,-2.0,Object_Green
175,205,wd7d7085,5,Object_Red,"{""Q0"":""-3""}",-3.0,Object,Red,4,7.0,Object_Red
176,206,wd7d7085,5,Object_Blue,"{""Q0"":""+8""}",8.0,Object,Blue,-5,-13.0,Object_Blue
177,207,wd7d7085,5,Animal_Green,"{""Q0"":""+5""}",5.0,Animal,Green,6,1.0,Animal_Green
178,208,wd7d7085,5,Animal_Red,"{""Q0"":""-4""}",-4.0,Animal,Red,-1,3.0,Animal_Red
179,209,wd7d7085,5,Scene_Green,"{""Q0"":""+5""}",5.0,Scene,Green,-8,-13.0,Scene_Green
180,210,w502a382,1,Object_Blue,"{""Q0"":""-2""}",-2.0,Object,Blue,-6,-4.0,Object_Blue
181,211,w502a382,1,Object_Red,"{""Q0"":""+5""}",5.0,Object,Red,7,2.0,Object_Red
182,212,w502a382,1,Object_Yellow,"{""Q0"":""-7""}",-7.0,Object,Yellow,-3,4.0,Object_Yellow
183,213,w502a382,1,Scene_Blue,"{""Q0"":""+8""}",8.0,Scene,Blue,4,-4.0,Scene_Blue
184,214,w502a382,1,Scene_Red,"{""Q0"":""-5""}",-5.0,Scene,Red,-8,-3.0,Scene_Red
185,215,w502a382,1,Food_Blue,"{""Q0"":""+2""}",2.0,Food,Blue,5,3.0,Food_Blue
186,216,w502a382,2,Animal_Green,"{""Q0"":""-2""}",-2.0,Animal,Green,3,5.0,Animal_Green
187,217,w502a382,2,Animal_Blue,"{""Q0"":""+5""}",5.0,Animal,Blue,2,-3.0,Animal_Blue
188,218,w502a382,2,Animal_Yellow,"{""Q0"":""-2""}",-2.0,Animal,Yellow,-4,-2.0,Animal_Yellow
189,219,w502a382,2,Food_Green,"{""Q0"":""+8""}",8.0,Food,Green,6,-2.0,Food_Green
190,220,w502a382,2,Food_Blue,"{""Q0"":""+2""}",2.0,Food,Blue,-1,-3.0,Food_Blue
191,221,w502a382,2,Scene_Green,"{""Q0"":""+5""}",5.0,Scene,Green,-7,-12.0,Scene_Green
192,222,w502a382,3,Scene_Yellow,"{""Q0"":""-2""}",-2.0,Scene,Yellow,-6,-4.0,Scene_Yellow
193,223,w502a382,3,Scene_Blue,"{""Q0"":""+5""}",5.0,Scene,Blue,4,-1.0,Scene_Blue
194,224,w502a382,3,Scene_Red,"{""Q0"":""-7""}",-7.0,Scene,Red,3,10.0,Scene_Red
195,225,w502a382,3,Animal_Yellow,"{""Q0"":""+2""}",2.0,Animal,Yellow,7,5.0,Animal_Yellow
196,226,w502a382,3,Animal_Blue,"{""Q0"":""-3""}",-3.0,Animal,Blue,-2,1.0,Animal_Blue
197,227,w502a382,3,Object_Yellow,"{""Q0"":""+5""}",5.0,Object,Yellow,-5,-10.0,Object_Yellow
198,228,w502a382,4,Object_Red,"{""Q0"":""+5""}",5.0,Object,Red,6,1.0,Object_Red
199,229,w502a382,4,Object_Green,"{""Q0"":""+7""}",7.0,Object,Green,5,-2.0,Object_Green
200,230,w502a382,4,Object_Blue,"{""Q0"":""-5""}",-5.0,Object,Blue,-9,-4.0,Object_Blue
201,231,w502a382,4,Animal_Red,"{""Q0"":""-2""}",-2.0,Animal,Red,3,5.0,Animal_Red
202,232,w502a382,4,Animal_Green,"{""Q0"":""+5""}",5.0,Animal,Green,-4,-9.0,Animal_Green
203,233,w502a382,4,Food_Red,"{""Q0"":""-2""}",-2.0,Food,Red,-7,-5.0,Food_Red
204,234,w502a382,5,Food_Green,"{""Q0"":""-5""}",-5.0,Food,Green,7,12.0,Food_Green
205,235,w502a382,5,Food_Yellow,"{""Q0"":""-2""}",-2.0,Food,Yellow,3,5.0,Food_Yellow
206,236,w502a382,5,Food_Red,"{""Q0"":""-3""}",-3.0,Food,Red,-8,-5.0,Food_Red
207,237,w502a382,5,Scene_Green,"{""Q0"":""+5""}",5.0,Scene,Green,5,0.0,Scene_Green
208,238,w502a382,5,Scene_Yellow,"{""Q0"":""+5""}",5.0,Scene,Yellow,-1,-6.0,Scene_Yellow
209,239,w502a382,5,Object_Green,"{""Q0"":""+5""}",5.0,Object,Green,-9,-14.0,Object_Green
210,240,w8f47681,1,Animal_Red,"{""Q0"":""+4""}",4.0,Animal,Red,-6,-10.0,Animal_Red
211,241,w8f47681,1,Animal_Yellow,"{""Q0"":""+2""}",2.0,Animal,Yellow,3,1.0,Animal_Yellow
212,242,w8f47681,1,Animal_Green,"{""Q0"":""+3""}",3.0,Animal,Green,4,1.0,Animal_Green
213,243,w8f47681,1,Object_Red,"{""Q0"":""-2""}",-2.0,Object,Red,9,11.0,Object_Red
214,244,w8f47681,1,Object_Yellow,"{""Q0"":""-8""}",-8.0,Object,Yellow,-2,6.0,Object_Yellow
215,245,w8f47681,1,Food_Red,"{""Q0"":""+2""}",2.0,Food,Red,-5,-7.0,Food_Red
216,246,w8f47681,2,Food_Blue,"{""Q0"":""-6""}",-6.0,Food,Blue,-6,0.0,Food_Blue
217,247,w8f47681,2,Food_Green,"{""Q0"":""-3""}",-3.0,Food,Green,-3,0.0,Food_Green
218,248,w8f47681,2,Food_Yellow,"{""Q0"":""+8""}",8.0,Food,Yellow,8,0.0,Food_Yellow
219,249,w8f47681,2,Object_Blue,"{""Q0"":""-8""}",-8.0,Object,Blue,-5,3.0,Object_Blue
220,250,w8f47681,2,Object_Green,"{""Q0"":""+4""}",4.0,Object,Green,4,0.0,Object_Green
221,251,w8f47681,2,Animal_Blue,"{""Q0"":""+9""}",9.0,Animal,Blue,9,0.0,Animal_Blue
222,252,w8f47681,3,Scene_Blue,"{""Q0"":""-3""}",-3.0,Scene,Blue,-7,-4.0,Scene_Blue
223,253,w8f47681,3,Scene_Red,"{""Q0"":""+6""}",6.0,Scene,Red,8,2.0,Scene_Red
224,254,w8f47681,3,Scene_Green,"{""Q0"":""+2""}",2.0,Scene,Green,-3,-5.0,Scene_Green
225,255,w8f47681,3,Object_Blue,"{""Q0"":""-2""}",-2.0,Object,Blue,2,4.0,Object_Blue
226,256,w8f47681,3,Object_Red,"{""Q0"":""+2""}",2.0,Object,Red,-5,-7.0,Object_Red
227,257,w8f47681,3,Food_Blue,"{""Q0"":""+6""}",6.0,Food,Blue,6,0.0,Food_Blue
228,258,w8f47681,4,Scene_Red,"{""Q0"":""-8""}",-8.0,Scene,Red,-8,0.0,Scene_Red
229,259,w8f47681,4,Scene_Yellow,"{""Q0"":""+9""}",9.0,Scene,Yellow,9,0.0,Scene_Yellow
230,260,w8f47681,4,Scene_Blue,"{""Q0"":""-4""}",-4.0,Scene,Blue,-3,1.0,Scene_Blue
231,261,w8f47681,4,Food_Red,"{""Q0"":""+3""}",3.0,Food,Red,6,3.0,Food_Red
232,262,w8f47681,4,Food_Yellow,"{""Q0"":""-5""}",-5.0,Food,Yellow,-5,0.0,Food_Yellow
233,263,w8f47681,4,Animal_Red,"{""Q0"":""+3""}",3.0,Animal,Red,7,4.0,Animal_Red
234,264,w8f47681,5,Animal_Green,"{""Q0"":""+2""}",2.0,Animal,Green,7,5.0,Animal_Green
235,265,w8f47681,5,Animal_Yellow,"{""Q0"":""-3""}",-3.0,Animal,Yellow,-6,-3.0,Animal_Yellow
236,266,w8f47681,5,Animal_Blue,"{""Q0"":""-7""}",-7.0,Animal,Blue,-4,3.0,Animal_Blue
237,267,w8f47681,5,Object_Green,"{""Q0"":""-9""}",-9.0,Object,Green,-9,0.0,Object_Green
