,wid,image,chosen_value,point_value,correct
101,w417dedd,beachball,-1,-1,True
102,waf5ed76,beachball,-1,-1,True
106,wb83a52c,beachball,-1,-1,True
107,wf9d56e4,beachball,-1,-1,True
108,w00c391f,beachball,-1,-1,True
109,wae73c1f,beachball,-1,-1,True
110,wbdee46f,beachball,-1,-1,True
111,wd1558cc,beachball,1,-1,False
112,w0cf8802,beachball,1,-1,False
113,w31b7dbe,beachball,-1,-1,True
114,w1efb25c,beachball,-1,-1,True
115,w017e3cd,beachball,1,-1,False
116,w865d6ad,beachball,-1,-1,True
117,w4810e3e,beachball,1,-1,False
119,w161eef2,beachball,1,-1,False
121,wd9e76e4,beachball,-1,-1,True
122,w6355333,beachball,-1,-1,True
123,wa620fe2,beachball,-1,-1,True
124,w812d061,beachball,-1,-1,True
125,wf9347d8,beachball,1,-1,False
126,w5624f17,beachball,1,-1,False
127,wad2e584,beachball,-1,-1,True
128,wf2e46b5,beachball,1,-1,False
129,wbff56f6,beachball,-1,-1,True
130,w3067c35,beachball,1,-1,False
134,wc136bb6,beachball,-1,-1,True
135,wa24f9fe,beachball,-1,-1,True
137,w51d8142,beachball,-1,-1,True
139,wf7e1cf2,beachball,-1,-1,True
140,w915dec2,beachball,1,-1,False
141,w4e312fd,beachball,-1,-1,True
142,w0c6daff,beachball,-1,-1,True
143,w472a3b0,beachball,-1,-1,True
144,w7b672a4,beachball,-1,-1,True
146,wa06df17,beachball,-1,-1,True
147,w0e327f3,beachball,-1,-1,True
148,w1afb6bd,beachball,-1,-1,True
149,w08dda5e,beachball,1,-1,False
150,w49dc7cd,beachball,1,-1,False
151,w7574933,beachball,-1,-1,True
152,w2e9806f,penguin,-1,-1,True
153,wf57281a,penguin,1,-1,False
154,wc861d09,penguin,-1,-1,True
156,w3ef8767,penguin,-1,-1,True
157,wb050285,penguin,-1,-1,True
158,w2c5d7eb,penguin,-1,-1,True
159,w567d945,penguin,-1,-1,True
160,wbf71104,penguin,-1,-1,True
161,wdcba2fa,penguin,1,-1,False
162,w06dc745,penguin,-1,-1,True
163,wd3b5cb5,penguin,-1,-1,True
164,wea422b2,penguin,-1,-1,True
166,w8b71afe,penguin,-1,-1,True
167,wea26d76,penguin,-1,-1,True
168,w28e335e,penguin,-1,-1,True
169,w8d04c13,penguin,-1,-1,True
170,w882868f,penguin,-1,-1,True
171,w973e0a4,penguin,1,-1,False
172,w38281a7,penguin,1,-1,False
173,w15afaeb,penguin,-1,-1,True
174,we820c40,penguin,-1,-1,True
175,wd1f6033,penguin,-1,-1,True
176,wa9588e1,penguin,-1,-1,True
177,w417dedd,penguin,-1,-1,True
178,waf5ed76,penguin,-1,-1,True
182,wb83a52c,penguin,-1,-1,True
183,wf9d56e4,penguin,-1,-1,True
184,w00c391f,penguin,-1,-1,True
185,wae73c1f,penguin,1,-1,False
186,wbdee46f,penguin,-1,-1,True
187,wd1558cc,penguin,-1,-1,True
188,w0cf8802,penguin,-1,-1,True
189,w31b7dbe,penguin,-1,-1,True
190,w1efb25c,penguin,-1,-1,True
191,w017e3cd,penguin,-1,-1,True
192,w865d6ad,penguin,-1,-1,True
193,w4810e3e,penguin,1,-1,False
195,w161eef2,penguin,-1,-1,True
197,wd9e76e4,penguin,1,-1,False
198,w6355333,penguin,1,-1,False
199,wa620fe2,penguin,-1,-1,True
200,w812d061,penguin,1,-1,False
201,wf9347d8,penguin,-1,-1,True
202,w5624f17,penguin,-1,-1,True
203,wad2e584,penguin,1,-1,False
204,wf2e46b5,penguin,1,-1,False
205,wbff56f6,penguin,-1,-1,True
206,w3067c35,penguin,-1,-1,True
210,wc136bb6,penguin,-1,-1,True
211,wa24f9fe,penguin,-1,-1,True
213,w51d8142,penguin,-1,-1,True
215,wf7e1cf2,penguin,1,-1,False
216,w915dec2,penguin,-1,-1,True
217,w4e312fd,penguin,-1,-1,True
218,w0c6daff,penguin,-1,-1,True
219,w472a3b0,penguin,-1,-1,True
220,w7b672a4,penguin,-1,-1,True
222,wa06df17,penguin,1,-1,False
223,w0e327f3,penguin,-1,-1,True
224,w1afb6bd,penguin,-1,-1,True
225,w08dda5e,penguin,1,-1,False
226,w49dc7cd,penguin,1,-1,False
227,w7574933,penguin,-1,-1,True
228,w2e9806f,microwave,-1,-1,True
229,wf57281a,microwave,-1,-1,True
230,wc861d09,microwave,1,-1,False
232,w3ef8767,microwave,-1,-1,True
233,wb050285,microwave,-1,-1,True
234,w2c5d7eb,microwave,-1,-1,True
235,w567d945,microwave,-1,-1,True
236,wbf71104,microwave,1,-1,False
237,wdcba2fa,microwave,-1,-1,True
238,w06dc745,microwave,-1,-1,True
239,wd3b5cb5,microwave,-1,-1,True
240,wea422b2,microwave,-1,-1,True
242,w8b71afe,microwave,-1,-1,True
243,wea26d76,microwave,-1,-1,True
244,w28e335e,microwave,-1,-1,True
245,w8d04c13,microwave,-1,-1,True
246,w882868f,microwave,-1,-1,True
247,w973e0a4,microwave,1,-1,False
248,w38281a7,microwave,-1,-1,True
249,w15afaeb,microwave,1,-1,False
250,we820c40,microwave,-1,-1,True
251,wd1f6033,microwave,-1,-1,True
252,wa9588e1,microwave,-1,-1,True
253,w417dedd,microwave,-1,-1,True
254,waf5ed76,microwave,-1,-1,True
258,wb83a52c,microwave,1,-1,False
259,wf9d56e4,microwave,-1,-1,True
260,w00c391f,microwave,-1,-1,True
261,wae73c1f,microwave,-1,-1,True
262,wbdee46f,microwave,-1,-1,True
263,wd1558cc,microwave,-1,-1,True
264,w0cf8802,microwave,-1,-1,True
265,w31b7dbe,microwave,1,-1,False
266,w1efb25c,microwave,1,-1,False
267,w017e3cd,microwave,1,-1,False
268,w865d6ad,microwave,1,-1,False
269,w4810e3e,microwave,-1,-1,True
271,w161eef2,microwave,1,-1,False
273,wd9e76e4,microwave,-1,-1,True
274,w6355333,microwave,-1,-1,True
275,wa620fe2,microwave,-1,-1,True
276,w812d061,microwave,1,-1,False
277,wf9347d8,microwave,-1,-1,True
278,w5624f17,microwave,1,-1,False
279,wad2e584,microwave,1,-1,False
280,wf2e46b5,microwave,-1,-1,True
281,wbff56f6,microwave,-1,-1,True
282,w3067c35,microwave,1,-1,False
286,wc136bb6,microwave,-1,-1,True
287,wa24f9fe,microwave,-1,-1,True
289,w51d8142,microwave,-1,-1,True
291,wf7e1cf2,microwave,-1,-1,True
292,w915dec2,microwave,1,-1,False
293,w4e312fd,microwave,1,-1,False
294,w0c6daff,microwave,-1,-1,True
295,w472a3b0,microwave,1,-1,False
296,w7b672a4,microwave,-1,-1,True
298,wa06df17,microwave,-1,-1,True
299,w0e327f3,microwave,-1,-1,True
300,w1afb6bd,microwave,-1,-1,True
301,w08dda5e,microwave,-1,-1,True
302,w49dc7cd,microwave,-1,-1,True
303,w7574933,microwave,-1,-1,True
304,w2e9806f,butterfly,-1,-1,True
305,wf57281a,butterfly,-1,-1,True
306,wc861d09,butterfly,-1,-1,True
308,w3ef8767,butterfly,-1,-1,True
309,wb050285,butterfly,-1,-1,True
310,w2c5d7eb,butterfly,-1,-1,True
311,w567d945,butterfly,-1,-1,True
312,wbf71104,butterfly,1,-1,False
313,wdcba2fa,butterfly,1,-1,False
314,w06dc745,butterfly,-1,-1,True
315,wd3b5cb5,butterfly,-1,-1,True
316,wea422b2,butterfly,-1,-1,True
318,w8b71afe,butterfly,-1,-1,True
319,wea26d76,butterfly,1,-1,False
320,w28e335e,butterfly,1,-1,False
321,w8d04c13,butterfly,1,-1,False
322,w882868f,butterfly,-1,-1,True
323,w973e0a4,butterfly,-1,-1,True
324,w38281a7,butterfly,-1,-1,True
325,w15afaeb,butterfly,-1,-1,True
326,we820c40,butterfly,-1,-1,True
327,wd1f6033,butterfly,-1,-1,True
328,wa9588e1,butterfly,-1,-1,True
329,w417dedd,butterfly,-1,-1,True
330,waf5ed76,butterfly,-1,-1,True
334,wb83a52c,butterfly,-1,-1,True
335,wf9d56e4,butterfly,-1,-1,True
336,w00c391f,butterfly,-1,-1,True
337,wae73c1f,butterfly,-1,-1,True
338,wbdee46f,butterfly,-1,-1,True
339,wd1558cc,butterfly,-1,-1,True
340,w0cf8802,butterfly,1,-1,False
341,w31b7dbe,butterfly,-1,-1,True
342,w1efb25c,butterfly,-1,-1,True
343,w017e3cd,butterfly,-1,-1,True
344,w865d6ad,butterfly,-1,-1,True
345,w4810e3e,butterfly,-1,-1,True
347,w161eef2,butterfly,1,-1,False
349,wd9e76e4,butterfly,-1,-1,True
350,w6355333,butterfly,-1,-1,True
351,wa620fe2,butterfly,-1,-1,True
352,w812d061,butterfly,-1,-1,True
353,wf9347d8,butterfly,-1,-1,True
354,w5624f17,butterfly,-1,-1,True
355,wad2e584,butterfly,1,-1,False
356,wf2e46b5,butterfly,-1,-1,True
357,wbff56f6,butterfly,-1,-1,True
358,w3067c35,butterfly,1,-1,False
362,wc136bb6,butterfly,1,-1,False
363,wa24f9fe,butterfly,-1,-1,True
365,w51d8142,butterfly,-1,-1,True
367,wf7e1cf2,butterfly,-1,-1,True
368,w915dec2,butterfly,-1,-1,True
369,w4e312fd,butterfly,-1,-1,True
370,w0c6daff,butterfly,1,-1,False
371,w472a3b0,butterfly,-1,-1,True
372,w7b672a4,butterfly,1,-1,False
374,wa06df17,butterfly,-1,-1,True
375,w0e327f3,butterfly,-1,-1,True
376,w1afb6bd,butterfly,-1,-1,True
377,w08dda5e,butterfly,-1,-1,True
378,w49dc7cd,butterfly,1,-1,False
379,w7574933,butterfly,-1,-1,True
380,w2e9806f,cake,1,1,True
381,wf57281a,cake,1,1,True
382,wc861d09,cake,1,1,True
384,w3ef8767,cake,1,1,True
385,wb050285,cake,1,1,True
386,w2c5d7eb,cake,1,1,True
387,w567d945,cake,1,1,True
388,wbf71104,cake,1,1,True
389,wdcba2fa,cake,-1,1,False
390,w06dc745,cake,1,1,True
391,wd3b5cb5,cake,1,1,True
392,wea422b2,cake,1,1,True
394,w8b71afe,cake,1,1,True
395,wea26d76,cake,1,1,True
396,w28e335e,cake,1,1,True
397,w8d04c13,cake,1,1,True
398,w882868f,cake,1,1,True
399,w973e0a4,cake,1,1,True
400,w38281a7,cake,1,1,True
401,w15afaeb,cake,1,1,True
402,we820c40,cake,1,1,True
403,wd1f6033,cake,1,1,True
404,wa9588e1,cake,-1,1,False
405,w417dedd,cake,-1,1,False
406,waf5ed76,cake,1,1,True
410,wb83a52c,cake,1,1,True
411,wf9d56e4,cake,1,1,True
412,w00c391f,cake,1,1,True
413,wae73c1f,cake,1,1,True
414,wbdee46f,cake,1,1,True
415,wd1558cc,cake,1,1,True
416,w0cf8802,cake,1,1,True
417,w31b7dbe,cake,-1,1,False
418,w1efb25c,cake,1,1,True
419,w017e3cd,cake,1,1,True
420,w865d6ad,cake,1,1,True
421,w4810e3e,cake,1,1,True
423,w161eef2,cake,1,1,True
425,wd9e76e4,cake,1,1,True
426,w6355333,cake,1,1,True
427,wa620fe2,cake,1,1,True
428,w812d061,cake,-1,1,False
429,wf9347d8,cake,1,1,True
430,w5624f17,cake,1,1,True
431,wad2e584,cake,1,1,True
432,wf2e46b5,cake,1,1,True
433,wbff56f6,cake,1,1,True
434,w3067c35,cake,-1,1,False
438,wc136bb6,cake,1,1,True
439,wa24f9fe,cake,1,1,True
441,w51d8142,cake,1,1,True
443,wf7e1cf2,cake,1,1,True
444,w915dec2,cake,1,1,True
445,w4e312fd,cake,-1,1,False
446,w0c6daff,cake,1,1,True
447,w472a3b0,cake,1,1,True
448,w7b672a4,cake,1,1,True
450,wa06df17,cake,1,1,True
451,w0e327f3,cake,1,1,True
452,w1afb6bd,cake,1,1,True
453,w08dda5e,cake,1,1,True
454,w49dc7cd,cake,1,1,True
455,w7574933,cake,1,1,True
456,w2e9806f,volleyball,1,1,True
457,wf57281a,volleyball,1,1,True
458,wc861d09,volleyball,1,1,True
460,w3ef8767,volleyball,1,1,True
461,wb050285,volleyball,1,1,True
462,w2c5d7eb,volleyball,1,1,True
463,w567d945,volleyball,1,1,True
464,wbf71104,volleyball,1,1,True
465,wdcba2fa,volleyball,-1,1,False
466,w06dc745,volleyball,1,1,True
467,wd3b5cb5,volleyball,1,1,True
468,wea422b2,volleyball,1,1,True
470,w8b71afe,volleyball,1,1,True
471,wea26d76,volleyball,1,1,True
472,w28e335e,volleyball,1,1,True
473,w8d04c13,volleyball,1,1,True
474,w882868f,volleyball,1,1,True
475,w973e0a4,volleyball,1,1,True
476,w38281a7,volleyball,1,1,True
477,w15afaeb,volleyball,1,1,True
478,we820c40,volleyball,1,1,True
479,wd1f6033,volleyball,1,1,True
480,wa9588e1,volleyball,1,1,True
481,w417dedd,volleyball,1,1,True
482,waf5ed76,volleyball,1,1,True
486,wb83a52c,volleyball,-1,1,False
487,wf9d56e4,volleyball,1,1,True
488,w00c391f,volleyball,1,1,True
489,wae73c1f,volleyball,1,1,True
490,wbdee46f,volleyball,1,1,True
491,wd1558cc,volleyball,1,1,True
492,w0cf8802,volleyball,1,1,True
493,w31b7dbe,volleyball,1,1,True
494,w1efb25c,volleyball,1,1,True
495,w017e3cd,volleyball,1,1,True
496,w865d6ad,volleyball,1,1,True
497,w4810e3e,volleyball,-1,1,False
499,w161eef2,volleyball,1,1,True
501,wd9e76e4,volleyball,1,1,True
502,w6355333,volleyball,1,1,True
503,wa620fe2,volleyball,1,1,True
504,w812d061,volleyball,1,1,True
505,wf9347d8,volleyball,1,1,True
506,w5624f17,volleyball,1,1,True
507,wad2e584,volleyball,1,1,True
508,wf2e46b5,volleyball,1,1,True
509,wbff56f6,volleyball,1,1,True
510,w3067c35,volleyball,1,1,True
514,wc136bb6,volleyball,1,1,True
515,wa24f9fe,volleyball,1,1,True
517,w51d8142,volleyball,1,1,True
519,wf7e1cf2,volleyball,1,1,True
520,w915dec2,volleyball,1,1,True
521,w4e312fd,volleyball,1,1,True
522,w0c6daff,volleyball,1,1,True
523,w472a3b0,volleyball,1,1,True
524,w7b672a4,volleyball,1,1,True
526,wa06df17,volleyball,1,1,True
527,w0e327f3,volleyball,1,1,True
528,w1afb6bd,volleyball,1,1,True
529,w08dda5e,volleyball,1,1,True
530,w49dc7cd,volleyball,1,1,True
531,w7574933,volleyball,1,1,True
532,w2e9806f,eagle,-1,-1,True
533,wf57281a,eagle,-1,-1,True
534,wc861d09,eagle,-1,-1,True
536,w3ef8767,eagle,1,-1,False
537,wb050285,eagle,-1,-1,True
538,w2c5d7eb,eagle,-1,-1,True
539,w567d945,eagle,-1,-1,True
540,wbf71104,eagle,1,-1,False
541,wdcba2fa,eagle,1,-1,False
542,w06dc745,eagle,-1,-1,True
543,wd3b5cb5,eagle,-1,-1,True
544,wea422b2,eagle,-1,-1,True
546,w8b71afe,eagle,-1,-1,True
547,wea26d76,eagle,1,-1,False
548,w28e335e,eagle,1,-1,False
549,w8d04c13,eagle,1,-1,False
550,w882868f,eagle,-1,-1,True
551,w973e0a4,eagle,-1,-1,True
552,w38281a7,eagle,-1,-1,True
553,w15afaeb,eagle,1,-1,False
554,we820c40,eagle,-1,-1,True
555,wd1f6033,eagle,-1,-1,True
556,wa9588e1,eagle,-1,-1,True
557,w417dedd,eagle,-1,-1,True
558,waf5ed76,eagle,-1,-1,True
562,wb83a52c,eagle,-1,-1,True
563,wf9d56e4,eagle,1,-1,False
564,w00c391f,eagle,-1,-1,True
565,wae73c1f,eagle,-1,-1,True
566,wbdee46f,eagle,-1,-1,True
567,wd1558cc,eagle,-1,-1,True
568,w0cf8802,eagle,1,-1,False
569,w31b7dbe,eagle,-1,-1,True
570,w1efb25c,eagle,-1,-1,True
571,w017e3cd,eagle,1,-1,False
572,w865d6ad,eagle,-1,-1,True
573,w4810e3e,eagle,-1,-1,True
575,w161eef2,eagle,1,-1,False
577,wd9e76e4,eagle,1,-1,False
578,w6355333,eagle,-1,-1,True
579,wa620fe2,eagle,-1,-1,True
580,w812d061,eagle,1,-1,False
581,wf9347d8,eagle,-1,-1,True
582,w5624f17,eagle,-1,-1,True
583,wad2e584,eagle,-1,-1,True
584,wf2e46b5,eagle,-1,-1,True
585,wbff56f6,eagle,-1,-1,True
586,w3067c35,eagle,1,-1,False
590,wc136bb6,eagle,1,-1,False
591,wa24f9fe,eagle,-1,-1,True
593,w51d8142,eagle,-1,-1,True
595,wf7e1cf2,eagle,1,-1,False
596,w915dec2,eagle,-1,-1,True
597,w4e312fd,eagle,-1,-1,True
598,w0c6daff,eagle,-1,-1,True
599,w472a3b0,eagle,-1,-1,True
600,w7b672a4,eagle,1,-1,False
602,wa06df17,eagle,-1,-1,True
603,w0e327f3,eagle,-1,-1,True
604,w1afb6bd,eagle,-1,-1,True
605,w08dda5e,eagle,-1,-1,True
606,w49dc7cd,eagle,-1,-1,True
607,w7574933,eagle,-1,-1,True
608,w2e9806f,blueberry,1,1,True
609,wf57281a,blueberry,1,1,True
610,wc861d09,blueberry,1,1,True
612,w3ef8767,blueberry,-1,1,False
613,wb050285,blueberry,1,1,True
614,w2c5d7eb,blueberry,1,1,True
615,w567d945,blueberry,1,1,True
616,wbf71104,blueberry,1,1,True
617,wdcba2fa,blueberry,1,1,True
618,w06dc745,blueberry,1,1,True
619,wd3b5cb5,blueberry,1,1,True
620,wea422b2,blueberry,1,1,True
622,w8b71afe,blueberry,1,1,True
623,wea26d76,blueberry,1,1,True
624,w28e335e,blueberry,1,1,True
625,w8d04c13,blueberry,1,1,True
626,w882868f,blueberry,1,1,True
627,w973e0a4,blueberry,-1,1,False
628,w38281a7,blueberry,1,1,True
629,w15afaeb,blueberry,-1,1,False
630,we820c40,blueberry,1,1,True
631,wd1f6033,blueberry,1,1,True
632,wa9588e1,blueberry,1,1,True
633,w417dedd,blueberry,1,1,True
634,waf5ed76,blueberry,-1,1,False
638,wb83a52c,blueberry,1,1,True
639,wf9d56e4,blueberry,1,1,True
640,w00c391f,blueberry,-1,1,False
641,wae73c1f,blueberry,1,1,True
642,wbdee46f,blueberry,1,1,True
643,wd1558cc,blueberry,1,1,True
644,w0cf8802,blueberry,1,1,True
645,w31b7dbe,blueberry,1,1,True
646,w1efb25c,blueberry,1,1,True
647,w017e3cd,blueberry,1,1,True
648,w865d6ad,blueberry,1,1,True
649,w4810e3e,blueberry,1,1,True
651,w161eef2,blueberry,1,1,True
653,wd9e76e4,blueberry,1,1,True
654,w6355333,blueberry,1,1,True
655,wa620fe2,blueberry,1,1,True
656,w812d061,blueberry,1,1,True
657,wf9347d8,blueberry,1,1,True
658,w5624f17,blueberry,1,1,True
659,wad2e584,blueberry,1,1,True
660,wf2e46b5,blueberry,1,1,True
661,wbff56f6,blueberry,1,1,True
662,w3067c35,blueberry,1,1,True
666,wc136bb6,blueberry,1,1,True
667,wa24f9fe,blueberry,1,1,True
669,w51d8142,blueberry,1,1,True
671,wf7e1cf2,blueberry,1,1,True
672,w915dec2,blueberry,1,1,True
673,w4e312fd,blueberry,-1,1,False
674,w0c6daff,blueberry,1,1,True
675,w472a3b0,blueberry,1,1,True
676,w7b672a4,blueberry,1,1,True
678,wa06df17,blueberry,1,1,True
679,w0e327f3,blueberry,1,1,True
680,w1afb6bd,blueberry,1,1,True
681,w08dda5e,blueberry,1,1,True
682,w49dc7cd,blueberry,-1,1,False
683,w7574933,blueberry,1,1,True
684,w2e9806f,dog,1,1,True
685,wf57281a,dog,1,1,True
686,wc861d09,dog,1,1,True
688,w3ef8767,dog,1,1,True
689,wb050285,dog,1,1,True
690,w2c5d7eb,dog,1,1,True
691,w567d945,dog,1,1,True
692,wbf71104,dog,-1,1,False
693,wdcba2fa,dog,1,1,True
694,w06dc745,dog,1,1,True
695,wd3b5cb5,dog,1,1,True
696,wea422b2,dog,1,1,True
698,w8b71afe,dog,1,1,True
699,wea26d76,dog,1,1,True
700,w28e335e,dog,1,1,True
701,w8d04c13,dog,1,1,True
702,w882868f,dog,1,1,True
703,w973e0a4,dog,1,1,True
704,w38281a7,dog,1,1,True
705,w15afaeb,dog,1,1,True
706,we820c40,dog,1,1,True
707,wd1f6033,dog,1,1,True
708,wa9588e1,dog,1,1,True
709,w417dedd,dog,1,1,True
710,waf5ed76,dog,1,1,True
714,wb83a52c,dog,-1,1,False
715,wf9d56e4,dog,1,1,True
716,w00c391f,dog,1,1,True
717,wae73c1f,dog,1,1,True
718,wbdee46f,dog,1,1,True
719,wd1558cc,dog,1,1,True
720,w0cf8802,dog,1,1,True
721,w31b7dbe,dog,1,1,True
722,w1efb25c,dog,1,1,True
723,w017e3cd,dog,-1,1,False
724,w865d6ad,dog,1,1,True
725,w4810e3e,dog,1,1,True
727,w161eef2,dog,-1,1,False
729,wd9e76e4,dog,1,1,True
730,w6355333,dog,1,1,True
731,wa620fe2,dog,1,1,True
732,w812d061,dog,1,1,True
733,wf9347d8,dog,1,1,True
734,w5624f17,dog,1,1,True
735,wad2e584,dog,1,1,True
736,wf2e46b5,dog,1,1,True
737,wbff56f6,dog,1,1,True
738,w3067c35,dog,1,1,True
742,wc136bb6,dog,1,1,True
743,wa24f9fe,dog,1,1,True
745,w51d8142,dog,1,1,True
747,wf7e1cf2,dog,1,1,True
748,w915dec2,dog,1,1,True
749,w4e312fd,dog,1,1,True
750,w0c6daff,dog,1,1,True
751,w472a3b0,dog,1,1,True
752,w7b672a4,dog,1,1,True
754,wa06df17,dog,1,1,True
755,w0e327f3,dog,1,1,True
756,w1afb6bd,dog,1,1,True
757,w08dda5e,dog,1,1,True
758,w49dc7cd,dog,1,1,True
759,w7574933,dog,1,1,True
760,w2e9806f,carrot,-1,1,False
761,wf57281a,carrot,1,1,True
762,wc861d09,carrot,1,1,True
764,w3ef8767,carrot,1,1,True
765,wb050285,carrot,1,1,True
766,w2c5d7eb,carrot,1,1,True
767,w567d945,carrot,1,1,True
768,wbf71104,carrot,-1,1,False
769,wdcba2fa,carrot,1,1,True
770,w06dc745,carrot,1,1,True
771,wd3b5cb5,carrot,1,1,True
772,wea422b2,carrot,1,1,True
774,w8b71afe,carrot,-1,1,False
775,wea26d76,carrot,1,1,True
776,w28e335e,carrot,1,1,True
777,w8d04c13,carrot,1,1,True
778,w882868f,carrot,-1,1,False
779,w973e0a4,carrot,1,1,True
780,w38281a7,carrot,1,1,True
781,w15afaeb,carrot,1,1,True
782,we820c40,carrot,1,1,True
783,wd1f6033,carrot,1,1,True
784,wa9588e1,carrot,1,1,True
785,w417dedd,carrot,1,1,True
786,waf5ed76,carrot,1,1,True
790,wb83a52c,carrot,1,1,True
791,wf9d56e4,carrot,1,1,True
792,w00c391f,carrot,1,1,True
793,wae73c1f,carrot,-1,1,False
794,wbdee46f,carrot,1,1,True
795,wd1558cc,carrot,1,1,True
796,w0cf8802,carrot,1,1,True
797,w31b7dbe,carrot,-1,1,False
798,w1efb25c,carrot,1,1,True
799,w017e3cd,carrot,1,1,True
800,w865d6ad,carrot,1,1,True
801,w4810e3e,carrot,-1,1,False
803,w161eef2,carrot,-1,1,False
805,wd9e76e4,carrot,1,1,True
806,w6355333,carrot,1,1,True
807,wa620fe2,carrot,1,1,True
808,w812d061,carrot,-1,1,False
809,wf9347d8,carrot,1,1,True
810,w5624f17,carrot,1,1,True
811,wad2e584,carrot,-1,1,False
812,wf2e46b5,carrot,1,1,True
813,wbff56f6,carrot,1,1,True
814,w3067c35,carrot,1,1,True
818,wc136bb6,carrot,1,1,True
819,wa24f9fe,carrot,1,1,True
821,w51d8142,carrot,-1,1,False
823,wf7e1cf2,carrot,1,1,True
824,w915dec2,carrot,1,1,True
825,w4e312fd,carrot,-1,1,False
826,w0c6daff,carrot,1,1,True
827,w472a3b0,carrot,1,1,True
828,w7b672a4,carrot,1,1,True
830,wa06df17,carrot,1,1,True
831,w0e327f3,carrot,1,1,True
832,w1afb6bd,carrot,-1,1,False
833,w08dda5e,carrot,-1,1,False
834,w49dc7cd,carrot,1,1,True
835,w7574933,carrot,1,1,True
836,w2e9806f,pepper,-1,-1,True
837,wf57281a,pepper,-1,-1,True
838,wc861d09,pepper,-1,-1,True
840,w3ef8767,pepper,-1,-1,True
841,wb050285,pepper,1,-1,False
842,w2c5d7eb,pepper,-1,-1,True
843,w567d945,pepper,1,-1,False
844,wbf71104,pepper,-1,-1,True
845,wdcba2fa,pepper,-1,-1,True
846,w06dc745,pepper,-1,-1,True
847,wd3b5cb5,pepper,-1,-1,True
848,wea422b2,pepper,-1,-1,True
850,w8b71afe,pepper,-1,-1,True
851,wea26d76,pepper,-1,-1,True
852,w28e335e,pepper,1,-1,False
853,w8d04c13,pepper,1,-1,False
854,w882868f,pepper,-1,-1,True
855,w973e0a4,pepper,-1,-1,True
856,w38281a7,pepper,-1,-1,True
857,w15afaeb,pepper,-1,-1,True
858,we820c40,pepper,-1,-1,True
859,wd1f6033,pepper,-1,-1,True
