,index,Unnamed: 0,wid,game,item,order,shown
37,37,37,w2b4a70d,3,Object_Land_Solid_Small,4,True
38,38,38,w2b4a70d,3,Animal_Land_Solid_Small,5,False
39,39,39,w2b4a70d,3,Object_Land_Solid_Large,6,False
40,40,40,w2b4a70d,4,Animal_Sea_Solid_Large,1,True
41,41,41,w2b4a70d,4,Animal_Sea_Pattern_Large,2,True
42,42,42,w2b4a70d,4,Animal_Sea_Solid_Small,3,True
43,43,43,w2b4a70d,4,Object_Sea_Solid_Large,4,True
44,44,44,w2b4a70d,4,Animal_Sea_Pattern_Small,5,True
45,45,45,w2b4a70d,4,Object_Sea_Pattern_Large,6,False
46,46,46,w2b4a70d,5,Object_Sea_Pattern_Small,1,True
47,47,47,w2b4a70d,5,Animal_Land_Solid_Small,2,True
48,48,48,w2b4a70d,5,Object_Land_Pattern_Large,3,True
49,49,49,w2b4a70d,5,Object_Land_Pattern_Small,4,True
50,50,50,w2b4a70d,5,Object_Land_Solid_Small,5,True
51,51,51,w2b4a70d,6,Animal_Sea_Solid_Large,1,False
52,52,52,w2b4a70d,6,Animal_Sea_Solid_Small,2,True
53,53,53,w2b4a70d,6,Animal_Land_Solid_Large,3,True
54,54,54,w2b4a70d,6,Animal_Land_Pattern_Large,4,True
55,55,55,w2b4a70d,6,Object_Sea_Pattern_Small,5,True
56,56,56,w2b4a70d,7,Object_Sea_Solid_Large,1,True
57,57,57,w2b4a70d,7,Animal_Sea_Pattern_Large,2,True
58,58,58,w2b4a70d,7,Animal_Sea_Pattern_Small,3,False
59,59,59,w2b4a70d,7,Animal_Land_Pattern_Small,4,True
60,60,60,w2b4a70d,7,Object_Sea_Pattern_Large,5,True
61,61,61,w8f710ed,1,Animal_Land_Solid_Large,1,True
62,62,62,w8f710ed,1,Object_Land_Solid_Large,3,True
63,63,63,w8f710ed,1,Object_Sea_Pattern_Large,4,True
64,64,64,w8f710ed,1,Animal_Sea_Pattern_Large,5,True
65,65,65,w8f710ed,2,Object_Sea_Solid_Small,1,True
66,66,66,w8f710ed,2,Animal_Sea_Solid_Small,2,True
67,67,67,w8f710ed,2,Object_Land_Solid_Large,3,True
68,68,68,w8f710ed,2,Animal_Sea_Solid_Large,4,True
69,69,69,w8f710ed,2,Object_Land_Pattern_Small,5,True
70,70,70,w8f710ed,2,Object_Sea_Solid_Large,6,True
71,71,71,w8f710ed,3,Object_Sea_Pattern_Large,1,True
72,72,72,w8f710ed,3,Animal_Sea_Solid_Small,2,False
73,73,73,w8f710ed,3,Animal_Sea_Pattern_Small,3,True
74,74,74,w8f710ed,3,Object_Sea_Pattern_Small,4,True
75,75,75,w8f710ed,3,Object_Sea_Solid_Small,5,True
76,76,76,w8f710ed,3,Animal_Land_Solid_Small,6,True
77,77,77,w8f710ed,4,Object_Sea_Solid_Small,1,True
78,78,78,w8f710ed,4,Object_Land_Pattern_Large,2,True
79,79,79,w8f710ed,4,Object_Land_Pattern_Small,3,True
80,80,80,w8f710ed,4,Object_Sea_Pattern_Small,4,True
81,81,81,w8f710ed,4,Animal_Sea_Pattern_Large,5,True
82,82,82,w8f710ed,4,Object_Land_Solid_Small,6,True
83,83,83,w8f710ed,5,Object_Land_Pattern_Large,1,True
84,84,84,w8f710ed,5,Animal_Land_Pattern_Small,2,True
85,85,85,w8f710ed,5,Object_Land_Pattern_Small,3,True
86,86,86,w8f710ed,5,Animal_Sea_Solid_Small,4,True
87,87,87,w8f710ed,5,Object_Land_Solid_Small,5,True
88,88,88,w8f710ed,5,Animal_Sea_Pattern_Small,6,True
89,89,89,w8f710ed,6,Object_Land_Pattern_Large,1,False
90,90,90,w8f710ed,6,Animal_Sea_Pattern_Small,2,True
91,91,91,w8f710ed,6,Object_Sea_Solid_Large,3,True
92,92,92,w8f710ed,6,Animal_Land_Pattern_Small,4,True
93,93,93,w8f710ed,6,Animal_Land_Solid_Large,5,True
94,94,94,w8f710ed,6,Animal_Sea_Solid_Small,6,False
95,95,95,w8f710ed,7,Object_Land_Pattern_Large,1,True
96,96,96,w8f710ed,7,Animal_Land_Pattern_Large,2,True
97,97,97,w8f710ed,7,Object_Land_Solid_Small,3,True
98,98,98,w8f710ed,7,Animal_Sea_Pattern_Small,4,False
99,99,99,wd697686,1,Object_Sea_Pattern_Large,1,True
100,100,100,wd697686,1,Animal_Sea_Solid_Small,2,True
101,101,101,wd697686,1,Object_Land_Pattern_Large,3,False
102,102,102,wd697686,1,Object_Land_Pattern_Small,4,False
103,103,103,wd697686,1,Object_Land_Solid_Small,5,False
104,104,104,wd697686,1,Animal_Land_Solid_Small,6,True
105,105,105,wd697686,2,Animal_Land_Solid_Large,1,True
106,106,106,wd697686,2,Object_Land_Solid_Small,2,True
107,107,107,wd697686,2,Object_Land_Solid_Large,3,True
108,108,108,wd697686,2,Animal_Land_Pattern_Large,4,True
109,109,109,wd697686,3,Object_Sea_Pattern_Small,1,True
110,110,110,wd697686,3,Animal_Sea_Pattern_Large,2,True
111,111,111,wd697686,3,Object_Sea_Solid_Large,3,True
112,112,112,wd697686,3,Animal_Land_Pattern_Large,4,True
113,113,113,wd697686,3,Animal_Sea_Pattern_Small,5,True
114,114,114,wd697686,4,Animal_Sea_Pattern_Small,1,True
115,115,115,wd697686,4,Animal_Land_Pattern_Large,2,False
116,116,116,wd697686,4,Animal_Land_Pattern_Small,3,True
117,117,117,wd697686,4,Animal_Sea_Pattern_Large,4,True
118,118,118,wd697686,5,Animal_Sea_Pattern_Small,1,True
119,119,119,wd697686,5,Animal_Sea_Solid_Large,2,True
120,120,120,wd697686,6,Animal_Land_Solid_Small,1,True
121,121,121,wd697686,6,Object_Land_Solid_Small,2,True
122,122,122,wd697686,6,Animal_Land_Pattern_Large,3,True
123,123,123,wd697686,7,Object_Sea_Solid_Large,1,True
124,124,124,wd697686,7,Object_Land_Solid_Small,2,False
125,125,125,wd697686,7,Animal_Land_Solid_Small,3,False
126,126,126,wd697686,7,Animal_Sea_Pattern_Small,4,False
127,127,127,w31bcaa3,1,Object_Land_Pattern_Large,1,True
128,128,128,w31bcaa3,1,Object_Land_Solid_Small,2,False
129,129,129,w31bcaa3,1,Animal_Sea_Pattern_Small,3,True
130,130,130,w31bcaa3,1,Object_Sea_Solid_Large,4,False
131,131,131,w31bcaa3,1,Object_Sea_Pattern_Small,5,True
132,132,132,w31bcaa3,1,Animal_Sea_Pattern_Large,6,False
133,133,133,w31bcaa3,2,Object_Land_Solid_Large,1,True
134,134,134,w31bcaa3,2,Animal_Land_Pattern_Small,2,True
135,135,135,w31bcaa3,2,Animal_Sea_Pattern_Small,3,False
136,136,136,w31bcaa3,2,Animal_Sea_Solid_Large,4,True
137,137,137,w31bcaa3,2,Object_Sea_Pattern_Small,5,False
138,138,138,w31bcaa3,3,Animal_Land_Solid_Large,1,False
139,139,139,w31bcaa3,3,Object_Sea_Solid_Small,2,True
140,140,140,w31bcaa3,3,Animal_Sea_Pattern_Small,3,True
141,141,141,w31bcaa3,3,Object_Land_Pattern_Small,4,True
142,142,142,w31bcaa3,3,Animal_Land_Pattern_Large,5,False
143,143,143,w31bcaa3,3,Object_Sea_Pattern_Large,6,True
144,144,144,w31bcaa3,4,Object_Sea_Solid_Large,1,True
145,145,145,w31bcaa3,4,Object_Sea_Solid_Small,2,False
146,146,146,w31bcaa3,4,Animal_Sea_Pattern_Small,3,True
147,147,147,w31bcaa3,4,Animal_Sea_Solid_Large,4,True
148,148,148,w31bcaa3,4,Object_Land_Pattern_Large,5,True
149,149,149,w31bcaa3,4,Animal_Sea_Solid_Small,6,True
150,150,150,w31bcaa3,5,Object_Land_Solid_Small,1,True
151,151,151,w31bcaa3,5,Object_Land_Pattern_Small,2,True
152,152,152,w31bcaa3,5,Animal_Sea_Solid_Large,3,False
153,153,153,w31bcaa3,5,Animal_Sea_Solid_Small,4,False
154,154,154,w31bcaa3,5,Object_Sea_Pattern_Small,5,True
155,155,155,w31bcaa3,5,Object_Land_Pattern_Large,6,True
156,156,156,w31bcaa3,6,Animal_Land_Solid_Large,1,True
157,157,157,w31bcaa3,6,Animal_Land_Pattern_Large,2,True
158,158,158,w31bcaa3,6,Object_Sea_Pattern_Small,3,True
159,159,159,w31bcaa3,6,Animal_Sea_Pattern_Small,4,True
160,160,160,w31bcaa3,6,Object_Land_Pattern_Small,5,False
161,161,161,w31bcaa3,6,Animal_Land_Solid_Small,6,False
162,162,162,w31bcaa3,7,Object_Sea_Solid_Large,1,True
163,163,163,w31bcaa3,7,Animal_Sea_Solid_Small,2,False
164,164,164,w31bcaa3,7,Object_Land_Pattern_Large,3,True
165,165,165,w31bcaa3,7,Animal_Land_Pattern_Small,4,True
166,166,166,w31bcaa3,7,Animal_Sea_Pattern_Large,5,True
167,167,167,w31bcaa3,7,Object_Sea_Pattern_Small,6,False
168,168,168,wd3f2678,1,Object_Land_Pattern_Large,1,False
169,169,169,wd3f2678,1,Object_Land_Pattern_Small,3,True
170,170,170,wd3f2678,1,Object_Sea_Pattern_Small,5,True
171,171,171,wd3f2678,2,Object_Land_Pattern_Large,1,False
172,172,172,wd3f2678,2,Object_Land_Pattern_Small,2,True
173,173,173,wd3f2678,2,Object_Land_Solid_Small,3,True
174,174,174,wd3f2678,2,Object_Sea_Pattern_Small,4,False
175,175,175,wd3f2678,3,Object_Land_Pattern_Large,1,False
176,176,176,wd3f2678,3,Object_Land_Pattern_Small,2,False
177,177,177,wd3f2678,3,Object_Land_Solid_Small,3,False
178,178,178,wd3f2678,3,Object_Sea_Pattern_Small,4,True
179,179,179,wd3f2678,4,Object_Sea_Pattern_Small,1,False
180,180,180,wd3f2678,4,Animal_Sea_Solid_Large,2,False
181,181,181,wd3f2678,4,Object_Land_Pattern_Large,3,True
182,182,182,wd3f2678,5,Animal_Sea_Pattern_Small,1,True
183,183,183,wd3f2678,5,Object_Sea_Pattern_Large,2,True
184,184,184,wd3f2678,5,Animal_Sea_Pattern_Large,3,True
185,185,185,wd3f2678,5,Object_Land_Pattern_Large,4,True
186,186,186,wd3f2678,6,Animal_Sea_Solid_Small,1,True
187,187,187,wd3f2678,6,Object_Sea_Solid_Large,2,True
188,188,188,wd3f2678,6,Object_Land_Pattern_Large,3,True
189,189,189,wd3f2678,6,Animal_Land_Solid_Large,4,True
190,190,190,wd3f2678,7,Animal_Sea_Pattern_Large,1,True
191,191,191,wd3f2678,7,Animal_Land_Solid_Large,3,False
192,192,192,wd3f2678,7,Object_Sea_Pattern_Small,4,True
193,193,193,w970a2f0,1,Animal_Sea_Pattern_Large,1,True
194,194,194,w970a2f0,1,Animal_Sea_Pattern_Large,2,True
195,195,195,w970a2f0,1,Animal_Sea_Pattern_Large,3,True
196,196,196,w970a2f0,1,Animal_Sea_Pattern_Large,4,True
197,197,197,w970a2f0,1,Animal_Sea_Pattern_Large,5,True
198,198,198,w970a2f0,1,Animal_Sea_Pattern_Large,6,True
199,199,199,w970a2f0,2,Object_Land_Solid_Small,1,True
200,200,200,w970a2f0,2,Object_Land_Pattern_Large,2,True
201,201,201,w970a2f0,2,Object_Sea_Pattern_Large,3,True
202,202,202,w970a2f0,2,Animal_Land_Pattern_Large,4,True
203,203,203,w970a2f0,2,Animal_Land_Solid_Large,5,False
204,204,204,w970a2f0,2,Animal_Land_Solid_Small,6,True
205,205,205,w970a2f0,3,Object_Sea_Pattern_Large,1,True
206,206,206,w970a2f0,3,Animal_Land_Solid_Small,2,False
207,207,207,w970a2f0,3,Animal_Land_Solid_Small,3,False
208,208,208,w970a2f0,3,Animal_Land_Solid_Small,4,False
209,209,209,w970a2f0,3,Animal_Land_Solid_Small,5,False
210,210,210,w970a2f0,3,Animal_Land_Solid_Small,6,False
211,211,211,w970a2f0,4,Animal_Sea_Pattern_Large,1,True
212,212,212,w970a2f0,4,Animal_Sea_Pattern_Small,2,True
213,213,213,w970a2f0,4,Object_Sea_Solid_Large,3,True
214,214,214,w970a2f0,4,Object_Land_Solid_Large,4,False
215,215,215,wbc9e827,1,Animal_Land_Pattern_Small,1,True
216,216,216,wbc9e827,1,Animal_Sea_Solid_Large,2,False
217,217,217,wbc9e827,1,Animal_Land_Pattern_Large,3,True
218,218,218,wbc9e827,1,Animal_Land_Solid_Large,4,False
219,219,219,wbc9e827,1,Animal_Sea_Solid_Small,5,True
220,220,220,wbc9e827,1,Object_Land_Pattern_Large,6,True
221,221,221,wbc9e827,2,Animal_Land_Pattern_Small,1,True
222,222,222,wbc9e827,2,Animal_Land_Pattern_Large,2,False
223,223,223,wbc9e827,2,Animal_Sea_Solid_Large,3,True
224,224,224,wbc9e827,2,Object_Sea_Solid_Small,4,True
225,225,225,wbc9e827,2,Animal_Land_Solid_Small,5,True
226,226,226,wbc9e827,2,Object_Land_Solid_Large,6,True
227,227,227,wbc9e827,3,Animal_Sea_Solid_Small,1,True
228,228,228,wbc9e827,3,Animal_Sea_Pattern_Small,2,True
229,229,229,wbc9e827,3,Object_Sea_Solid_Small,3,True
230,230,230,wbc9e827,3,Object_Sea_Pattern_Large,4,True
231,231,231,wbc9e827,3,Animal_Sea_Solid_Large,5,False
232,232,232,wbc9e827,3,Object_Land_Pattern_Small,6,True
233,233,233,wbc9e827,4,Object_Sea_Solid_Large,1,True
234,234,234,wbc9e827,4,Animal_Sea_Solid_Small,2,True
235,235,235,wbc9e827,4,Animal_Sea_Pattern_Large,3,True
236,236,236,wbc9e827,4,Object_Land_Pattern_Large,4,True
237,237,237,wbc9e827,4,Animal_Sea_Solid_Large,5,True
238,238,238,wbc9e827,4,Animal_Sea_Pattern_Small,6,True
239,239,239,wbc9e827,5,Object_Land_Pattern_Large,1,True
240,240,240,wbc9e827,5,Animal_Land_Solid_Small,2,True
241,241,241,wbc9e827,5,Object_Land_Solid_Small,3,True
242,242,242,wbc9e827,5,Animal_Land_Solid_Large,4,True
243,243,243,wbc9e827,5,Object_Sea_Pattern_Small,5,True
244,244,244,wbc9e827,6,Animal_Land_Pattern_Large,1,True
245,245,245,wbc9e827,6,Animal_Sea_Solid_Small,2,True
246,246,246,wbc9e827,6,Animal_Sea_Pattern_Small,3,True
247,247,247,wbc9e827,6,Animal_Land_Pattern_Small,4,True
248,248,248,wbc9e827,6,Object_Sea_Pattern_Small,5,True
249,249,249,wbc9e827,6,Object_Sea_Solid_Small,6,False
250,250,250,wbc9e827,7,Object_Sea_Solid_Large,1,True
251,251,251,wbc9e827,7,Object_Sea_Pattern_Large,2,True
252,252,252,wbc9e827,7,Animal_Sea_Pattern_Large,3,True
253,253,253,wbc9e827,7,Object_Land_Pattern_Large,4,True
254,254,254,wbc9e827,7,Animal_Land_Pattern_Large,5,False
255,255,255,wbc9e827,7,Animal_Land_Pattern_Small,6,True
256,256,256,we368c94,1,Animal_Land_Solid_Large,1,True
257,257,257,we368c94,1,Animal_Sea_Solid_Large,2,True
258,258,258,we368c94,1,Animal_Sea_Pattern_Large,3,True
259,259,259,we368c94,1,Object_Land_Solid_Large,4,True
260,260,260,we368c94,1,Object_Sea_Solid_Small,5,True
261,261,261,we368c94,1,Animal_Land_Solid_Small,6,False
262,262,262,we368c94,2,Animal_Sea_Solid_Large,1,True
263,263,263,we368c94,2,Object_Sea_Solid_Large,2,True
264,264,264,we368c94,2,Object_Land_Solid_Large,3,True
265,265,265,we368c94,2,Animal_Sea_Solid_Small,4,True
266,266,266,we368c94,2,Object_Land_Pattern_Small,5,True
267,267,267,we368c94,2,Object_Sea_Solid_Small,6,True
268,268,268,we368c94,3,Object_Sea_Pattern_Small,1,True
269,269,269,we368c94,3,Animal_Sea_Pattern_Small,2,True
270,270,270,we368c94,3,Object_Sea_Pattern_Large,3,True
271,271,271,we368c94,3,Object_Sea_Solid_Small,4,True
272,272,272,we368c94,3,Animal_Sea_Solid_Large,5,False
273,273,273,we368c94,3,Animal_Land_Solid_Small,6,True
274,274,274,we368c94,4,Object_Land_Solid_Small,1,True
275,275,275,we368c94,4,Object_Land_Pattern_Large,2,True
276,276,276,we368c94,4,Object_Land_Pattern_Small,3,True
277,277,277,we368c94,4,Object_Sea_Pattern_Small,4,True
278,278,278,we368c94,4,Object_Sea_Solid_Small,5,True
279,279,279,we368c94,4,Animal_Sea_Pattern_Large,6,True
280,280,280,we368c94,5,Animal_Sea_Pattern_Small,1,True
281,281,281,we368c94,5,Animal_Sea_Solid_Small,2,True
282,282,282,we368c94,5,Object_Land_Pattern_Small,3,True
283,283,283,we368c94,5,Animal_Land_Pattern_Small,4,True
284,284,284,we368c94,5,Object_Land_Solid_Small,5,True
285,285,285,we368c94,5,Object_Land_Pattern_Large,6,True
286,286,286,we368c94,6,Animal_Land_Pattern_Large,1,True
287,287,287,we368c94,6,Animal_Sea_Pattern_Small,2,True
288,288,288,we368c94,6,Animal_Land_Solid_Large,3,True
289,289,289,we368c94,6,Object_Sea_Solid_Large,4,True
290,290,290,we368c94,6,Animal_Land_Pattern_Small,5,True
291,291,291,we368c94,6,Animal_Sea_Pattern_Large,6,True
292,292,292,we368c94,7,Object_Land_Pattern_Large,1,True
293,293,293,we368c94,7,Animal_Land_Solid_Small,2,True
294,294,294,we368c94,7,Object_Sea_Pattern_Small,3,True
295,295,295,we368c94,7,Animal_Land_Pattern_Small,4,True
296,296,296,we368c94,7,Animal_Land_Pattern_Large,5,True
297,297,297,we368c94,7,Object_Land_Solid_Small,6,True
298,298,298,wb900a5f,1,Animal_Sea_Solid_Large,1,True
299,299,299,wb900a5f,1,Animal_Land_Solid_Large,2,True
300,300,300,wb900a5f,1,Object_Sea_Solid_Small,3,True
301,301,301,wb900a5f,1,Object_Sea_Pattern_Large,4,True
302,302,302,wb900a5f,1,Object_Land_Solid_Large,5,True
303,303,303,wb900a5f,1,Animal_Land_Pattern_Small,6,False
304,304,304,wb900a5f,2,Object_Sea_Solid_Small,1,True
305,305,305,wb900a5f,2,Animal_Sea_Pattern_Large,2,False
306,306,306,wb900a5f,2,Animal_Sea_Solid_Large,3,True
307,307,307,wb900a5f,2,Object_Land_Solid_Large,4,True
308,308,308,wb900a5f,2,Animal_Land_Solid_Large,5,False
309,309,309,wb900a5f,2,Object_Sea_Pattern_Large,6,False
310,310,310,wb900a5f,3,Animal_Sea_Pattern_Small,1,True
311,311,311,wb900a5f,3,Object_Sea_Pattern_Large,2,True
312,312,312,wb900a5f,3,Animal_Sea_Solid_Large,3,False
313,313,313,wb900a5f,3,Object_Sea_Solid_Small,4,True
314,314,314,wb900a5f,3,Animal_Sea_Pattern_Large,5,False
315,315,315,wb900a5f,3,Object_Land_Solid_Large,6,False
316,316,316,wb900a5f,4,Animal_Sea_Solid_Large,1,False
317,317,317,wb900a5f,4,Object_Land_Solid_Large,2,False
318,318,318,wb900a5f,4,Object_Land_Pattern_Large,3,True
319,319,319,wb900a5f,4,Object_Sea_Solid_Small,4,True
320,320,320,wb900a5f,4,Object_Sea_Pattern_Large,5,False
321,321,321,wb900a5f,4,Animal_Land_Pattern_Small,6,False
322,322,322,wb900a5f,5,Animal_Sea_Pattern_Small,1,True
323,323,323,wb900a5f,5,Object_Land_Solid_Small,2,True
324,324,324,wb900a5f,5,Animal_Sea_Solid_Small,3,True
325,325,325,wb900a5f,5,Object_Land_Pattern_Large,4,True
326,326,326,wb900a5f,5,Animal_Land_Pattern_Small,5,True
327,327,327,wb900a5f,5,Object_Sea_Pattern_Large,6,False
328,328,328,wb900a5f,6,Object_Land_Solid_Small,1,False
329,329,329,wb900a5f,6,Object_Sea_Pattern_Large,2,False
330,330,330,wb900a5f,6,Object_Land_Pattern_Large,3,False
331,331,331,wb900a5f,6,Animal_Sea_Pattern_Small,4,True
332,332,332,wb900a5f,6,Animal_Sea_Solid_Small,5,False
333,333,333,wb900a5f,6,Object_Land_Pattern_Small,6,False
334,334,334,wb900a5f,7,Animal_Land_Pattern_Large,1,True
335,335,335,wb900a5f,7,Irrelevant,2,False
336,336,336,wb900a5f,7,Object_Land_Solid_Small,3,True
337,337,337,wb900a5f,7,Object_Land_Pattern_Large,4,True
338,338,338,wb900a5f,7,Object_Land_Pattern_Small,5,False
339,339,339,wb900a5f,7,Object_Sea_Pattern_Large,6,False
340,340,340,w52f1872,1,Object_Sea_Solid_Small,1,True
341,341,341,w52f1872,1,Animal_Sea_Solid_Large,2,True
342,342,342,w52f1872,1,Object_Land_Solid_Large,3,True
343,343,343,w52f1872,1,Animal_Sea_Pattern_Large,4,True
344,344,344,w52f1872,2,Object_Land_Pattern_Small,1,True
345,345,345,w52f1872,2,Animal_Sea_Solid_Large,2,True
346,346,346,w52f1872,2,Object_Land_Solid_Large,3,True
347,347,347,w52f1872,2,Object_Sea_Solid_Small,4,True
348,348,348,w52f1872,2,Animal_Sea_Solid_Small,5,True
349,349,349,w52f1872,2,Object_Sea_Solid_Large,6,True
350,350,350,w52f1872,3,Object_Sea_Solid_Small,1,True
351,351,351,w52f1872,3,Object_Sea_Solid_Large,2,True
352,352,352,w52f1872,3,Animal_Land_Solid_Small,3,True
353,353,353,w52f1872,3,Object_Sea_Pattern_Small,4,True
354,354,354,w52f1872,4,Object_Land_Solid_Small,1,True
355,355,355,w52f1872,4,Object_Land_Pattern_Small,2,True
356,356,356,w52f1872,4,Object_Land_Pattern_Large,3,True
357,357,357,w52f1872,4,Object_Sea_Pattern_Small,4,True
358,358,358,w52f1872,4,Animal_Sea_Pattern_Large,5,True
359,359,359,w52f1872,5,Object_Land_Pattern_Large,1,True
360,360,360,w52f1872,5,Animal_Land_Pattern_Small,2,True
361,361,361,w52f1872,5,Animal_Sea_Pattern_Small,3,True
362,362,362,w52f1872,5,Object_Land_Solid_Small,4,True
363,363,363,w52f1872,5,Object_Sea_Solid_Small,5,False
364,364,364,w52f1872,7,Object_Land_Pattern_Large,1,True
365,365,365,w8eb1000,1,Object_Sea_Pattern_Large,1,True
366,366,366,w8eb1000,1,Object_Sea_Solid_Small,2,True
367,367,367,w8eb1000,1,Animal_Land_Pattern_Large,4,False
368,368,368,w8eb1000,1,Animal_Sea_Solid_Small,5,True
369,369,369,w8eb1000,1,Animal_Sea_Pattern_Small,6,True
370,370,370,w8eb1000,2,Object_Land_Solid_Small,1,True
371,371,371,w8eb1000,2,Animal_Land_Pattern_Large,2,True
372,372,372,w8eb1000,2,Object_Land_Pattern_Small,3,True
373,373,373,w8eb1000,2,Object_Land_Solid_Large,5,True
374,374,374,w8eb1000,2,Object_Sea_Solid_Small,6,True
375,375,375,w8eb1000,3,Animal_Sea_Pattern_Small,1,True
376,376,376,w8eb1000,3,Object_Sea_Pattern_Small,2,True
377,377,377,w8eb1000,3,Animal_Land_Pattern_Small,3,True
378,378,378,w8eb1000,3,Object_Sea_Solid_Large,4,True
379,379,379,w8eb1000,3,Animal_Sea_Pattern_Large,5,True
380,380,380,w8eb1000,3,Animal_Land_Pattern_Large,6,True
381,381,381,w8eb1000,4,Animal_Sea_Solid_Large,2,True
382,382,382,w8eb1000,4,Animal_Sea_Pattern_Large,3,True
383,383,383,w8eb1000,4,Animal_Sea_Solid_Small,4,True
384,384,384,w8eb1000,4,Object_Land_Pattern_Large,5,True
385,385,385,w8eb1000,4,Animal_Sea_Pattern_Small,6,True
386,386,386,w8eb1000,5,Object_Land_Pattern_Small,1,True
387,387,387,w8eb1000,5,Object_Sea_Pattern_Small,2,True
388,388,388,w8eb1000,5,Object_Sea_Solid_Large,4,True
389,389,389,w8eb1000,5,Animal_Sea_Pattern_Small,5,True
390,390,390,w8eb1000,5,Animal_Sea_Solid_Large,6,True
391,391,391,w8eb1000,6,Object_Sea_Solid_Small,1,True
392,392,392,w8eb1000,6,Animal_Land_Solid_Large,2,True
393,393,393,w8eb1000,6,Animal_Land_Solid_Small,3,True
394,394,394,w8eb1000,6,Animal_Land_Pattern_Large,5,True
395,395,395,w8eb1000,6,Object_Land_Pattern_Small,6,True
396,396,396,w8eb1000,7,Object_Land_Pattern_Large,1,True
397,397,397,w8eb1000,7,Object_Sea_Pattern_Large,2,False
398,398,398,w8eb1000,7,Object_Land_Solid_Large,3,True
399,399,399,w8eb1000,7,Animal_Sea_Solid_Small,4,True
400,400,400,w8eb1000,7,Object_Sea_Pattern_Small,5,True
401,401,401,w7606987,1,Object_Land_Pattern_Large,1,False
402,402,402,w7606987,1,Animal_Land_Pattern_Small,2,False
403,403,403,w7606987,1,Animal_Sea_Solid_Large,3,True
404,404,404,w7606987,1,Animal_Land_Solid_Large,4,True
405,405,405,w7606987,1,Object_Land_Solid_Large,5,True
406,406,406,w7606987,2,Object_Sea_Pattern_Large,1,False
407,407,407,w7606987,2,Object_Land_Pattern_Large,2,False
408,408,408,w7606987,2,Animal_Sea_Solid_Large,3,True
409,409,409,w7606987,2,Animal_Land_Solid_Large,4,False
410,410,410,w7606987,2,Object_Sea_Pattern_Large,5,False
411,411,411,w7606987,2,Object_Sea_Pattern_Large,6,False
412,412,412,w7606987,3,Animal_Sea_Pattern_Small,1,True
413,413,413,w7606987,3,Animal_Sea_Pattern_Small,2,True
414,414,414,w7606987,3,Animal_Sea_Pattern_Small,3,True
415,415,415,w7606987,3,Animal_Sea_Pattern_Small,4,True
416,416,416,w7606987,3,Animal_Sea_Pattern_Small,5,True
417,417,417,w7606987,3,Animal_Sea_Pattern_Small,6,True
418,418,418,w7606987,4,Object_Sea_Solid_Large,1,False
419,419,419,w7606987,4,Object_Land_Pattern_Large,2,True
