,index,wid,game,multi_time,image,responses,remembered_outcome,category_1,category_2,outcome,outcome_mem_difference,item
17,17,wa022482,3,After,Food_Yellow,"{""Q0"":""-2""}",-2.0,Food,Yellow,1,3.0,Food_Yellow
18,18,wa022482,4,Before,Object_Red,"{""Q0"":""+1""}",1.0,Object,Red,2,1.0,Object_Red
19,19,wa022482,4,Before,Object_Green,"{""Q0"":""+1""}",1.0,Object,Green,1,0.0,Object_Green
20,20,wa022482,4,Before,Object_Blue,"{""Q0"":""-1""}",-1.0,Object,Blue,-1,0.0,Object_Blue
21,21,wa022482,4,Before,Animal_Red,"{""Q0"":""-1""}",-1.0,Animal,Red,1,2.0,Animal_Red
22,22,wa022482,4,Before,Animal_Green,"{""Q0"":""-2""}",-2.0,Animal,Green,-2,0.0,Animal_Green
23,23,wa022482,4,Before,Scene_Red,"{""Q0"":""-1""}",-1.0,Scene,Red,-2,-1.0,Scene_Red
24,24,wa022482,5,After,Object_Green,"{""Q0"":""+1""}",1.0,Object,Green,2,1.0,Object_Green
25,25,wa022482,5,After,Object_Red,"{""Q0"":""-2""}",-2.0,Object,Red,-2,0.0,Object_Red
26,26,wa022482,5,After,Object_Yellow,"{""Q0"":""+1""}",1.0,Object,Yellow,-1,-2.0,Object_Yellow
27,27,wa022482,5,After,Scene_Green,"{""Q0"":""-1""}",-1.0,Scene,Green,1,2.0,Scene_Green
28,28,wa022482,5,After,Scene_Red,"{""Q0"":""-2""}",-2.0,Scene,Red,1,3.0,Scene_Red
29,29,wa022482,5,After,Animal_Green,"{""Q0"":""+1""}",1.0,Animal,Green,-1,-2.0,Animal_Green
30,30,wa022482,6,Before,Food_Blue,"{""Q0"":""+2""}",2.0,Food,Blue,2,0.0,Food_Blue
31,31,wa022482,6,Before,Food_Red,"{""Q0"":""-1""}",-1.0,Food,Red,-1,0.0,Food_Red
32,32,wa022482,6,Before,Food_Green,"{""Q0"":""-1""}",-1.0,Food,Green,-2,-1.0,Food_Green
33,33,wa022482,6,Before,Animal_Blue,"{""Q0"":""+2""}",2.0,Animal,Blue,2,0.0,Animal_Blue
34,34,wa022482,6,Before,Animal_Red,"{""Q0"":""-2""}",-2.0,Animal,Red,-1,1.0,Animal_Red
35,35,wa022482,6,Before,Scene_Blue,"{""Q0"":""+2""}",2.0,Scene,Blue,2,0.0,Scene_Blue
36,36,wa022482,7,After,Scene_Green,"{""Q0"":""-2""}",-2.0,Scene,Green,-2,0.0,Scene_Green
37,37,wa022482,7,After,Scene_Blue,"{""Q0"":""+1""}",1.0,Scene,Blue,1,0.0,Scene_Blue
38,38,wa022482,7,After,Scene_Yellow,"{""Q0"":""-2""}",-2.0,Scene,Yellow,-2,0.0,Scene_Yellow
39,39,wa022482,7,After,Object_Green,"{""Q0"":""+2""}",2.0,Object,Green,2,0.0,Object_Green
40,40,wa022482,7,After,Object_Blue,"{""Q0"":""+1""}",1.0,Object,Blue,1,0.0,Object_Blue
41,41,wa022482,7,After,Food_Green,"{""Q0"":""-1""}",-1.0,Food,Green,-1,0.0,Food_Green
42,42,wa022482,8,Before,Food_Red,"{""Q0"":""-1""}",-1.0,Food,Red,2,3.0,Food_Red
43,43,wa022482,8,Before,Food_Yellow,"{""Q0"":""+2""}",2.0,Food,Yellow,2,0.0,Food_Yellow
44,44,wa022482,8,Before,Food_Blue,"{""Q0"":""+2""}",2.0,Food,Blue,-1,-3.0,Food_Blue
45,45,wa022482,8,Before,Animal_Red,"{""Q0"":""+1""}",1.0,Animal,Red,2,1.0,Animal_Red
46,46,wa022482,8,Before,Animal_Yellow,"{""Q0"":""+2""}",2.0,Animal,Yellow,-1,-3.0,Animal_Yellow
47,47,wa022482,8,Before,Object_Red,"{""Q0"":""-2""}",-2.0,Object,Red,-2,0.0,Object_Red
48,48,wc263e54,1,Before,Object_Blue,"{""Q0"":""1""}",,Object,Blue,1,,Object_Blue
49,49,wc263e54,1,Before,Object_Green,"{""Q0"":""1""}",,Object,Green,2,,Object_Green
50,50,wc263e54,1,Before,Object_Yellow,"{""Q0"":""2""}",,Object,Yellow,-2,,Object_Yellow
51,51,wc263e54,1,Before,Animal_Blue,"{""Q0"":""1""}",,Animal,Blue,2,,Animal_Blue
52,52,wc263e54,1,Before,Animal_Green,"{""Q0"":""2""}",,Animal,Green,-1,,Animal_Green
53,53,wc263e54,1,Before,Food_Blue,"{""Q0"":""2""}",,Food,Blue,-1,,Food_Blue
54,54,wc263e54,2,After,Scene_Red,"{""Q0"":""1""}",,Scene,Red,2,,Scene_Red
55,55,wc263e54,2,After,Scene_Blue,"{""Q0"":""2""}",,Scene,Blue,-2,,Scene_Blue
56,56,wc263e54,2,After,Scene_Green,"{""Q0"":""1""}",,Scene,Green,1,,Scene_Green
57,57,wc263e54,2,After,Object_Red,"{""Q0"":""1""}",,Object,Red,1,,Object_Red
58,58,wc263e54,2,After,Object_Blue,"{""Q0"":""2""}",,Object,Blue,-2,,Object_Blue
59,59,wc263e54,2,After,Food_Red,"{""Q0"":""1""}",,Food,Red,-1,,Food_Red
60,60,wc263e54,3,Before,Food_Yellow,"{""Q0"":""2""}",,Food,Yellow,-2,,Food_Yellow
61,61,wc263e54,3,Before,Food_Red,"{""Q0"":""1""}",,Food,Red,-2,,Food_Red
62,62,wc263e54,3,Before,Food_Green,"{""Q0"":""1""}",,Food,Green,2,,Food_Green
63,63,wc263e54,3,Before,Animal_Yellow,"{""Q0"":""2""}",,Animal,Yellow,-2,,Animal_Yellow
64,64,wc263e54,3,Before,Animal_Red,"{""Q0"":""1""}",,Animal,Red,1,,Animal_Red
65,65,wc263e54,3,Before,Scene_Yellow,"{""Q0"":""1""}",,Scene,Yellow,2,,Scene_Yellow
66,66,wc263e54,4,After,Animal_Yellow,"{""Q0"":""2""}",,Animal,Yellow,1,,Animal_Yellow
67,67,wc263e54,4,After,Animal_Blue,"{""Q0"":""2""}",,Animal,Blue,2,,Animal_Blue
68,68,wc263e54,4,After,Animal_Red,"{""Q0"":""1""}",,Animal,Red,-1,,Animal_Red
69,69,wc263e54,4,After,Scene_Yellow,"{""Q0"":""1""}",,Scene,Yellow,-1,,Scene_Yellow
70,70,wc263e54,4,After,Scene_Blue,"{""Q0"":""2""}",,Scene,Blue,2,,Scene_Blue
71,71,wc263e54,4,After,Object_Yellow,"{""Q0"":""2""}",,Object,Yellow,-1,,Object_Yellow
72,72,wc263e54,5,Before,Food_Green,"{""Q0"":""1""}",,Food,Green,1,,Food_Green
73,73,wc263e54,5,Before,Food_Yellow,"{""Q0"":""2""}",,Food,Yellow,-2,,Food_Yellow
74,74,wc263e54,5,Before,Food_Blue,"{""Q0"":""1""}",,Food,Blue,2,,Food_Blue
75,75,wc263e54,5,Before,Animal_Green,"{""Q0"":""2""}",,Animal,Green,-2,,Animal_Green
76,76,wc263e54,5,Before,Animal_Yellow,"{""Q0"":""2""}",,Animal,Yellow,-1,,Animal_Yellow
77,77,wc263e54,5,Before,Scene_Green,"{""Q0"":""1""}",,Scene,Green,2,,Scene_Green
78,78,wc263e54,6,After,Food_Green,"{""Q0"":""1""}",,Food,Green,1,,Food_Green
79,79,wc263e54,6,After,Food_Red,"{""Q0"":""2""}",,Food,Red,-1,,Food_Red
80,80,wc263e54,6,After,Food_Yellow,"{""Q0"":""1""}",,Food,Yellow,-2,,Food_Yellow
81,81,wc263e54,6,After,Scene_Green,"{""Q0"":""2""}",,Scene,Green,2,,Scene_Green
82,82,wc263e54,6,After,Scene_Red,"{""Q0"":""1""}",,Scene,Red,2,,Scene_Red
83,83,wc263e54,6,After,Object_Green,"{""Q0"":""2""}",,Object,Green,-1,,Object_Green
84,84,wc263e54,7,Before,Scene_Red,"{""Q0"":""1""}",,Scene,Red,1,,Scene_Red
85,85,wc263e54,7,Before,Scene_Yellow,"{""Q0"":""1""}",,Scene,Yellow,1,,Scene_Yellow
86,86,wc263e54,7,Before,Scene_Blue,"{""Q0"":""1""}",,Scene,Blue,2,,Scene_Blue
87,87,wc263e54,7,Before,Object_Red,"{""Q0"":""2""}",,Object,Red,-1,,Object_Red
88,88,wc263e54,7,Before,Object_Yellow,"{""Q0"":""2""}",,Object,Yellow,-2,,Object_Yellow
89,89,wc263e54,7,Before,Animal_Red,"{""Q0"":""2""}",,Animal,Red,-1,,Animal_Red
90,90,wc263e54,8,After,Object_Blue,"{""Q0"":""2""}",,Object,Blue,-1,,Object_Blue
91,91,wc263e54,8,After,Object_Green,"{""Q0"":""1""}",,Object,Green,1,,Object_Green
92,92,wc263e54,8,After,Object_Red,"{""Q0"":""2""}",,Object,Red,-2,,Object_Red
93,93,wc263e54,8,After,Animal_Blue,"{""Q0"":""2""}",,Animal,Blue,-2,,Animal_Blue
94,94,wc263e54,8,After,Animal_Green,"{""Q0"":""1""}",,Animal,Green,1,,Animal_Green
95,95,wc263e54,8,After,Food_Blue,"{""Q0"":""1""}",,Food,Blue,1,,Food_Blue
96,96,w2457106,1,Before,Object_Yellow,"{""Q0"":""+1""}",1.0,Object,Yellow,2,1.0,Object_Yellow
97,97,w2457106,1,Before,Object_Red,"{""Q0"":""+2""}",2.0,Object,Red,1,-1.0,Object_Red
98,98,w2457106,1,Before,Object_Green,"{""Q0"":""-2""}",-2.0,Object,Green,-2,0.0,Object_Green
99,99,w2457106,1,Before,Animal_Yellow,"{""Q0"":""-2""}",-2.0,Animal,Yellow,-2,0.0,Animal_Yellow
100,100,w2457106,1,Before,Animal_Red,"{""Q0"":""+2""}",2.0,Animal,Red,-2,-4.0,Animal_Red
101,101,w2457106,1,Before,Food_Yellow,"{""Q0"":""+1""}",1.0,Food,Yellow,2,1.0,Food_Yellow
102,102,w2457106,2,After,Scene_Blue,"{""Q0"":""+1""}",1.0,Scene,Blue,-1,-2.0,Scene_Blue
103,103,w2457106,2,After,Scene_Yellow,"{""Q0"":""-1""}",-1.0,Scene,Yellow,1,2.0,Scene_Yellow
104,104,w2457106,2,After,Scene_Green,"{""Q0"":""-2""}",-2.0,Scene,Green,-2,0.0,Scene_Green
105,105,w2457106,2,After,Food_Blue,"{""Q0"":""+2""}",2.0,Food,Blue,-2,-4.0,Food_Blue
106,106,w2457106,2,After,Food_Yellow,"{""Q0"":""+1""}",1.0,Food,Yellow,1,0.0,Food_Yellow
107,107,w2457106,2,After,Object_Blue,"{""Q0"":""+2""}",2.0,Object,Blue,2,0.0,Object_Blue
108,108,w2457106,3,Before,Food_Green,"{""Q0"":""-2""}",-2.0,Food,Green,-2,0.0,Food_Green
109,109,w2457106,3,Before,Food_Red,"{""Q0"":""+2""}",2.0,Food,Red,2,0.0,Food_Red
110,110,w2457106,3,Before,Food_Blue,"{""Q0"":""-1""}",-1.0,Food,Blue,-1,0.0,Food_Blue
111,111,w2457106,3,Before,Scene_Green,"{""Q0"":""-1""}",-1.0,Scene,Green,-1,0.0,Scene_Green
112,112,w2457106,3,Before,Scene_Red,"{""Q0"":""+2""}",2.0,Scene,Red,2,0.0,Scene_Red
113,113,w2457106,3,Before,Animal_Green,"{""Q0"":""-1""}",-1.0,Animal,Green,2,3.0,Animal_Green
114,114,w2457106,4,After,Animal_Yellow,"{""Q0"":""+1""}",1.0,Animal,Yellow,-1,-2.0,Animal_Yellow
115,115,w2457106,4,After,Animal_Blue,"{""Q0"":""+1""}",1.0,Animal,Blue,1,0.0,Animal_Blue
116,116,w2457106,4,After,Animal_Red,"{""Q0"":""+2""}",2.0,Animal,Red,2,0.0,Animal_Red
117,117,w2457106,4,After,Scene_Yellow,"{""Q0"":""-1""}",-1.0,Scene,Yellow,-2,-1.0,Scene_Yellow
118,118,w2457106,4,After,Scene_Blue,"{""Q0"":""-1""}",-1.0,Scene,Blue,-2,-1.0,Scene_Blue
119,119,w2457106,4,After,Object_Yellow,"{""Q0"":""+1""}",1.0,Object,Yellow,2,1.0,Object_Yellow
120,120,w2457106,5,Before,Object_Green,"{""Q0"":""+1""}",1.0,Object,Green,-1,-2.0,Object_Green
121,121,w2457106,5,Before,Object_Blue,"{""Q0"":""+1""}",1.0,Object,Blue,1,0.0,Object_Blue
122,122,w2457106,5,Before,Object_Yellow,"{""Q0"":""+1""}",1.0,Object,Yellow,-2,-3.0,Object_Yellow
123,123,w2457106,5,Before,Animal_Green,"{""Q0"":""-1""}",-1.0,Animal,Green,1,2.0,Animal_Green
124,124,w2457106,5,Before,Animal_Blue,"{""Q0"":""-1""}",-1.0,Animal,Blue,2,3.0,Animal_Blue
125,125,w2457106,5,Before,Food_Green,"{""Q0"":""-2""}",-2.0,Food,Green,-2,0.0,Food_Green
126,126,w2457106,6,After,Scene_Red,"{""Q0"":""-2""}",-2.0,Scene,Red,-2,0.0,Scene_Red
127,127,w2457106,6,After,Scene_Blue,"{""Q0"":""-2""}",-2.0,Scene,Blue,1,3.0,Scene_Blue
128,128,w2457106,6,After,Scene_Yellow,"{""Q0"":""+1""}",1.0,Scene,Yellow,2,1.0,Scene_Yellow
129,129,w2457106,6,After,Food_Red,"{""Q0"":""+2""}",2.0,Food,Red,1,-1.0,Food_Red
130,130,w2457106,6,After,Food_Blue,"{""Q0"":""-1""}",-1.0,Food,Blue,-2,-1.0,Food_Blue
131,131,w2457106,6,After,Object_Red,"{""Q0"":""-1""}",-1.0,Object,Red,-2,-1.0,Object_Red
132,132,w2457106,7,Before,Object_Green,"{""Q0"":""+1""}",1.0,Object,Green,-2,-3.0,Object_Green
133,133,w2457106,7,Before,Object_Blue,"{""Q0"":""+1""}",1.0,Object,Blue,-2,-3.0,Object_Blue
134,134,w2457106,7,Before,Object_Red,"{""Q0"":""+1""}",1.0,Object,Red,2,1.0,Object_Red
135,135,w2457106,7,Before,Animal_Green,"{""Q0"":""+1""}",1.0,Animal,Green,1,0.0,Animal_Green
136,136,w2457106,7,Before,Animal_Blue,"{""Q0"":""-1""}",-1.0,Animal,Blue,1,2.0,Animal_Blue
137,137,w2457106,7,Before,Scene_Green,"{""Q0"":""-1""}",-1.0,Scene,Green,-2,-1.0,Scene_Green
138,138,w2457106,8,After,Food_Red,"{""Q0"":""+1""}",1.0,Food,Red,-1,-2.0,Food_Red
139,139,w2457106,8,After,Food_Yellow,"{""Q0"":""+1""}",1.0,Food,Yellow,1,0.0,Food_Yellow
140,140,w2457106,8,After,Food_Green,"{""Q0"":""-1""}",-1.0,Food,Green,2,3.0,Food_Green
141,141,w2457106,8,After,Animal_Red,"{""Q0"":""+2""}",2.0,Animal,Red,1,-1.0,Animal_Red
142,142,w2457106,8,After,Animal_Yellow,"{""Q0"":""+1""}",1.0,Animal,Yellow,-2,-3.0,Animal_Yellow
143,143,w2457106,8,After,Scene_Red,"{""Q0"":""+1""}",1.0,Scene,Red,-1,-2.0,Scene_Red
144,144,w88c84d1,1,Before,Animal_Yellow,"{""Q0"":""+1""}",1.0,Animal,Yellow,2,1.0,Animal_Yellow
145,145,w88c84d1,1,Before,Animal_Blue,"{""Q0"":""-1""}",-1.0,Animal,Blue,-1,0.0,Animal_Blue
146,146,w88c84d1,1,Before,Animal_Green,"{""Q0"":""-2""}",-2.0,Animal,Green,-2,0.0,Animal_Green
147,147,w88c84d1,1,Before,Scene_Yellow,"{""Q0"":""-1""}",-1.0,Scene,Yellow,-1,0.0,Scene_Yellow
148,148,w88c84d1,1,Before,Scene_Blue,"{""Q0"":""+2""}",2.0,Scene,Blue,2,0.0,Scene_Blue
149,149,w88c84d1,1,Before,Food_Yellow,"{""Q0"":""+1""}",1.0,Food,Yellow,2,1.0,Food_Yellow
150,150,w88c84d1,2,After,Food_Green,"{""Q0"":""+2""}",2.0,Food,Green,2,0.0,Food_Green
151,151,w88c84d1,2,After,Food_Blue,"{""Q0"":""+1""}",1.0,Food,Blue,1,0.0,Food_Blue
152,152,w88c84d1,2,After,Food_Red,"{""Q0"":""+1""}",1.0,Food,Red,2,1.0,Food_Red
153,153,w88c84d1,2,After,Object_Green,"{""Q0"":""+2""}",2.0,Object,Green,-2,-4.0,Object_Green
154,154,w88c84d1,2,After,Object_Blue,"{""Q0"":""-2""}",-2.0,Object,Blue,-2,0.0,Object_Blue
155,155,w88c84d1,2,After,Scene_Green,"{""Q0"":""-1""}",-1.0,Scene,Green,-1,0.0,Scene_Green
156,156,w88c84d1,3,Before,Scene_Red,"{""Q0"":""+2""}",2.0,Scene,Red,2,0.0,Scene_Red
157,157,w88c84d1,3,Before,Scene_Yellow,"{""Q0"":""-2""}",-2.0,Scene,Yellow,-2,0.0,Scene_Yellow
158,158,w88c84d1,3,Before,Scene_Blue,"{""Q0"":""-1""}",-1.0,Scene,Blue,-1,0.0,Scene_Blue
159,159,w88c84d1,3,Before,Animal_Red,"{""Q0"":""+2""}",2.0,Animal,Red,2,0.0,Animal_Red
160,160,w88c84d1,3,Before,Animal_Yellow,"{""Q0"":""+1""}",1.0,Animal,Yellow,1,0.0,Animal_Yellow
161,161,w88c84d1,3,Before,Object_Red,"{""Q0"":""-2""}",-2.0,Object,Red,-2,0.0,Object_Red
162,162,w88c84d1,4,After,Food_Red,"{""Q0"":""+2""}",2.0,Food,Red,2,0.0,Food_Red
163,163,w88c84d1,4,After,Food_Yellow,"{""Q0"":""-2""}",-2.0,Food,Yellow,-2,0.0,Food_Yellow
164,164,w88c84d1,4,After,Food_Green,"{""Q0"":""-1""}",-1.0,Food,Green,-1,0.0,Food_Green
165,165,w88c84d1,4,After,Object_Red,"{""Q0"":""+1""}",1.0,Object,Red,1,0.0,Object_Red
166,166,w88c84d1,4,After,Object_Yellow,"{""Q0"":""-1""}",-1.0,Object,Yellow,1,2.0,Object_Yellow
167,167,w88c84d1,4,After,Animal_Red,"{""Q0"":""+1""}",1.0,Animal,Red,-1,-2.0,Animal_Red
168,168,w88c84d1,5,Before,Animal_Green,"{""Q0"":""+1""}",1.0,Animal,Green,1,0.0,Animal_Green
169,169,w88c84d1,5,Before,Animal_Red,"{""Q0"":""+1""}",1.0,Animal,Red,1,0.0,Animal_Red
170,170,w88c84d1,5,Before,Animal_Blue,"{""Q0"":""-1""}",-1.0,Animal,Blue,-1,0.0,Animal_Blue
171,171,w88c84d1,5,Before,Scene_Green,"{""Q0"":""-1""}",-1.0,Scene,Green,-1,0.0,Scene_Green
172,172,w88c84d1,5,Before,Scene_Red,"{""Q0"":""+2""}",2.0,Scene,Red,2,0.0,Scene_Red
173,173,w88c84d1,5,Before,Object_Green,"{""Q0"":""-2""}",-2.0,Object,Green,-2,0.0,Object_Green
174,174,w88c84d1,6,After,Food_Green,"{""Q0"":""-1""}",-1.0,Food,Green,2,3.0,Food_Green
175,175,w88c84d1,6,After,Food_Red,"{""Q0"":""-2""}",-2.0,Food,Red,-2,0.0,Food_Red
176,176,w88c84d1,6,After,Food_Yellow,"{""Q0"":""+1""}",1.0,Food,Yellow,1,0.0,Food_Yellow
177,177,w88c84d1,6,After,Scene_Green,"{""Q0"":""+2""}",2.0,Scene,Green,2,0.0,Scene_Green
178,178,w88c84d1,6,After,Scene_Red,"{""Q0"":""-2""}",-2.0,Scene,Red,-1,1.0,Scene_Red
179,179,w88c84d1,6,After,Animal_Green,"{""Q0"":""+1""}",1.0,Animal,Green,-1,-2.0,Animal_Green
180,180,w88c84d1,7,Before,Object_Blue,"{""Q0"":""-1""}",-1.0,Object,Blue,-1,0.0,Object_Blue
181,181,w88c84d1,7,Before,Object_Yellow,"{""Q0"":""-2""}",-2.0,Object,Yellow,-2,0.0,Object_Yellow
182,182,w88c84d1,7,Before,Object_Green,"{""Q0"":""+2""}",2.0,Object,Green,2,0.0,Object_Green
183,183,w88c84d1,7,Before,Scene_Blue,"{""Q0"":""+2""}",2.0,Scene,Blue,2,0.0,Scene_Blue
184,184,w88c84d1,7,Before,Scene_Yellow,"{""Q0"":""+1""}",1.0,Scene,Yellow,1,0.0,Scene_Yellow
185,185,w88c84d1,7,Before,Food_Blue,"{""Q0"":""-2""}",-2.0,Food,Blue,-2,0.0,Food_Blue
186,186,w88c84d1,8,After,Object_Blue,"{""Q0"":""-1""}",-1.0,Object,Blue,1,2.0,Object_Blue
187,187,w88c84d1,8,After,Object_Yellow,"{""Q0"":""-1""}",-1.0,Object,Yellow,-1,0.0,Object_Yellow
188,188,w88c84d1,8,After,Object_Red,"{""Q0"":""-1""}",-1.0,Object,Red,-2,-1.0,Object_Red
189,189,w88c84d1,8,After,Animal_Blue,"{""Q0"":""+1""}",1.0,Animal,Blue,-1,-2.0,Animal_Blue
190,190,w88c84d1,8,After,Animal_Yellow,"{""Q0"":""+2""}",2.0,Animal,Yellow,2,0.0,Animal_Yellow
191,191,w88c84d1,8,After,Food_Blue,"{""Q0"":""+2""}",2.0,Food,Blue,2,0.0,Food_Blue
192,240,we24a9dd,1,After,Object_Yellow,"{""Q0"":""+2""}",2.0,Object,Yellow,-1,-3.0,Object_Yellow
193,241,we24a9dd,1,After,Object_Red,"{""Q0"":""-1""}",-1.0,Object,Red,-2,-1.0,Object_Red
194,242,we24a9dd,1,After,Object_Green,"{""Q0"":""-1""}",-1.0,Object,Green,2,3.0,Object_Green
195,243,we24a9dd,1,After,Animal_Yellow,"{""Q0"":""""}",,Animal,Yellow,1,,Animal_Yellow
196,244,we24a9dd,1,After,Animal_Red,"{""Q0"":""""}",,Animal,Red,-2,,Animal_Red
197,245,we24a9dd,1,After,Food_Yellow,"{""Q0"":""""}",,Food,Yellow,2,,Food_Yellow
198,246,we24a9dd,2,Before,Scene_Blue,"{""Q0"":""+1""}",1.0,Scene,Blue,1,0.0,Scene_Blue
199,247,we24a9dd,2,Before,Scene_Yellow,"{""Q0"":""-1""}",-1.0,Scene,Yellow,1,2.0,Scene_Yellow
200,248,we24a9dd,2,Before,Scene_Green,"{""Q0"":""""}",,Scene,Green,1,,Scene_Green
201,249,we24a9dd,2,Before,Food_Blue,"{""Q0"":""+1""}",1.0,Food,Blue,-1,-2.0,Food_Blue
202,250,we24a9dd,2,Before,Food_Yellow,"{""Q0"":""-2""}",-2.0,Food,Yellow,-2,0.0,Food_Yellow
203,251,we24a9dd,2,Before,Object_Blue,"{""Q0"":""""}",,Object,Blue,-2,,Object_Blue
204,252,we24a9dd,3,After,Food_Green,"{""Q0"":""""}",,Food,Green,1,,Food_Green
205,253,we24a9dd,3,After,Food_Red,"{""Q0"":""""}",,Food,Red,-2,,Food_Red
206,254,we24a9dd,3,After,Food_Blue,"{""Q0"":""+1""}",1.0,Food,Blue,2,1.0,Food_Blue
207,255,we24a9dd,3,After,Scene_Green,"{""Q0"":""-2""}",-2.0,Scene,Green,-1,1.0,Scene_Green
208,256,we24a9dd,3,After,Scene_Red,"{""Q0"":""-1""}",-1.0,Scene,Red,-1,0.0,Scene_Red
209,257,we24a9dd,3,After,Animal_Green,"{""Q0"":""+1""}",1.0,Animal,Green,2,1.0,Animal_Green
210,258,we24a9dd,4,Before,Animal_Yellow,"{""Q0"":""+1""}",1.0,Animal,Yellow,-1,-2.0,Animal_Yellow
211,259,we24a9dd,4,Before,Animal_Blue,"{""Q0"":""""}",,Animal,Blue,1,,Animal_Blue
212,260,we24a9dd,4,Before,Animal_Red,"{""Q0"":""""}",,Animal,Red,2,,Animal_Red
213,261,we24a9dd,4,Before,Scene_Yellow,"{""Q0"":""""}",,Scene,Yellow,1,,Scene_Yellow
214,262,we24a9dd,4,Before,Scene_Blue,"{""Q0"":""""}",,Scene,Blue,-2,,Scene_Blue
215,263,we24a9dd,4,Before,Object_Yellow,"{""Q0"":""""}",,Object,Yellow,-1,,Object_Yellow
216,264,we24a9dd,5,After,Object_Green,"{""Q0"":""-1""}",-1.0,Object,Green,-1,0.0,Object_Green
217,265,we24a9dd,5,After,Object_Blue,"{""Q0"":""+1""}",1.0,Object,Blue,1,0.0,Object_Blue
218,266,we24a9dd,5,After,Object_Yellow,"{""Q0"":""+1""}",1.0,Object,Yellow,-1,-2.0,Object_Yellow
219,267,we24a9dd,5,After,Animal_Green,"{""Q0"":""+2""}",2.0,Animal,Green,2,0.0,Animal_Green
220,268,we24a9dd,5,After,Animal_Blue,"{""Q0"":""""}",,Animal,Blue,2,,Animal_Blue
221,269,we24a9dd,5,After,Food_Green,"{""Q0"":""-2""}",-2.0,Food,Green,-2,0.0,Food_Green
222,270,we24a9dd,6,Before,Scene_Red,"{""Q0"":""+1""}",1.0,Scene,Red,1,0.0,Scene_Red
223,271,we24a9dd,6,Before,Scene_Blue,"{""Q0"":""+1""}",1.0,Scene,Blue,1,0.0,Scene_Blue
224,272,we24a9dd,6,Before,Scene_Yellow,"{""Q0"":""+1""}",1.0,Scene,Yellow,1,0.0,Scene_Yellow
225,273,we24a9dd,6,Before,Food_Red,"{""Q0"":""-1""}",-1.0,Food,Red,-1,0.0,Food_Red
226,274,we24a9dd,6,Before,Food_Blue,"{""Q0"":""-1""}",-1.0,Food,Blue,-2,-1.0,Food_Blue
227,275,we24a9dd,6,Before,Object_Red,"{""Q0"":""-2""}",-2.0,Object,Red,-2,0.0,Object_Red
228,276,we24a9dd,7,After,Object_Green,"{""Q0"":""""}",,Object,Green,-1,,Object_Green
229,277,we24a9dd,7,After,Object_Blue,"{""Q0"":""+1""}",1.0,Object,Blue,1,0.0,Object_Blue
230,278,we24a9dd,7,After,Object_Red,"{""Q0"":""-1""}",-1.0,Object,Red,-2,-1.0,Object_Red
231,279,we24a9dd,7,After,Animal_Green,"{""Q0"":""+1""}",1.0,Animal,Green,2,1.0,Animal_Green
232,280,we24a9dd,7,After,Animal_Blue,"{""Q0"":""""}",,Animal,Blue,2,,Animal_Blue
233,281,we24a9dd,7,After,Scene_Green,"{""Q0"":""""}",,Scene,Green,-2,,Scene_Green
