,index,wid,game,image,responses,remembered_outcome,category_1,category_2,category_3,category_4,outcome,outcome_mem_difference,item
43,43,w2b4a70d,1,Object_Sea_Pattern_Small,"{""Q0"":""+2""}",2.0,Object,Sea,Pattern,Small,2,0.0,Object_Sea_Pattern_Small
44,44,w2b4a70d,1,Animal_Sea_Solid_Small,"{""Q0"":""+1""}",1.0,Animal,Sea,Solid,Small,1,0.0,Animal_Sea_Solid_Small
45,45,w2b4a70d,1,Animal_Sea_Pattern_Small,"{""Q0"":""-1""}",-1.0,Animal,Sea,Pattern,Small,1,2.0,Animal_Sea_Pattern_Small
46,46,w2b4a70d,1,Animal_Land_Pattern_Large,"{""Q0"":""+2""}",2.0,Animal,Land,Pattern,Large,-1,-3.0,Animal_Land_Pattern_Large
47,47,w2b4a70d,1,Object_Land_Pattern_Large,"{""Q0"":""-1""}",-1.0,Object,Land,Pattern,Large,-2,-1.0,Object_Land_Pattern_Large
48,48,w2b4a70d,2,Animal_Land_Pattern_Small,"{""Q0"":""-1""}",-1.0,Animal,Land,Pattern,Small,-1,0.0,Animal_Land_Pattern_Small
49,49,w2b4a70d,2,Object_Sea_Solid_Small,"{""Q0"":""+1""}",1.0,Object,Sea,Solid,Small,-2,-3.0,Object_Sea_Solid_Small
50,50,w2b4a70d,2,Animal_Land_Solid_Large,"{""Q0"":""+2""}",2.0,Animal,Land,Solid,Large,1,-1.0,Animal_Land_Solid_Large
51,51,w2b4a70d,2,Object_Land_Solid_Large,"{""Q0"":""+2""}",2.0,Object,Land,Solid,Large,-2,-4.0,Object_Land_Solid_Large
52,52,w2b4a70d,2,Animal_Sea_Solid_Large,"{""Q0"":""+1""}",1.0,Animal,Sea,Solid,Large,1,0.0,Animal_Sea_Solid_Large
53,53,w2b4a70d,2,Animal_Land_Solid_Small,"{""Q0"":""-2""}",-2.0,Animal,Land,Solid,Small,1,3.0,Animal_Land_Solid_Small
54,54,w2b4a70d,3,Animal_Sea_Pattern_Small,"{""Q0"":""-1""}",-1.0,Animal,Sea,Pattern,Small,-2,-1.0,Animal_Sea_Pattern_Small
55,55,w2b4a70d,3,Object_Sea_Solid_Small,"{""Q0"":""-1""}",-1.0,Object,Sea,Solid,Small,2,3.0,Object_Sea_Solid_Small
56,56,w2b4a70d,3,Object_Sea_Pattern_Large,"{""Q0"":""+2""}",2.0,Object,Sea,Pattern,Large,1,-1.0,Object_Sea_Pattern_Large
57,57,w2b4a70d,3,Animal_Sea_Solid_Small,"{""Q0"":""-2""}",-2.0,Animal,Sea,Solid,Small,-2,0.0,Animal_Sea_Solid_Small
58,58,w2b4a70d,3,Object_Land_Pattern_Small,"{""Q0"":""2""}",,Object,Land,Pattern,Small,-1,,Object_Land_Pattern_Small
59,59,w2b4a70d,3,Object_Land_Solid_Small,"{""Q0"":""-1""}",-1.0,Object,Land,Solid,Small,2,3.0,Object_Land_Solid_Small
60,60,w2b4a70d,4,Animal_Sea_Pattern_Large,"{""Q0"":""+2""}",2.0,Animal,Sea,Pattern,Large,-1,-3.0,Animal_Sea_Pattern_Large
61,61,w2b4a70d,4,Animal_Sea_Solid_Large,"{""Q0"":""-1""}",-1.0,Animal,Sea,Solid,Large,-2,-1.0,Animal_Sea_Solid_Large
62,62,w2b4a70d,4,Animal_Sea_Pattern_Small,"{""Q0"":""-2""}",-2.0,Animal,Sea,Pattern,Small,-1,1.0,Animal_Sea_Pattern_Small
63,63,w2b4a70d,4,Object_Sea_Solid_Large,"{""Q0"":""+2""}",2.0,Object,Sea,Solid,Large,1,-1.0,Object_Sea_Solid_Large
64,64,w2b4a70d,4,Object_Land_Pattern_Large,"{""Q0"":""-1""}",-1.0,Object,Land,Pattern,Large,2,3.0,Object_Land_Pattern_Large
65,65,w2b4a70d,4,Animal_Sea_Solid_Small,"{""Q0"":""+2""}",2.0,Animal,Sea,Solid,Small,2,0.0,Animal_Sea_Solid_Small
66,66,w2b4a70d,5,Object_Land_Solid_Small,"{""Q0"":""+2""}",2.0,Object,Land,Solid,Small,2,0.0,Object_Land_Solid_Small
67,67,w2b4a70d,5,Object_Sea_Pattern_Small,"{""Q0"":""-1""}",-1.0,Object,Sea,Pattern,Small,1,2.0,Object_Sea_Pattern_Small
68,68,w2b4a70d,5,Object_Land_Pattern_Large,"{""Q0"":""+2""}",2.0,Object,Land,Pattern,Large,-2,-4.0,Object_Land_Pattern_Large
69,69,w2b4a70d,5,Object_Land_Pattern_Small,"{""Q0"":""-2""}",-2.0,Object,Land,Pattern,Small,2,4.0,Object_Land_Pattern_Small
70,70,w2b4a70d,5,Animal_Land_Solid_Large,"{""Q0"":""-1""}",-1.0,Animal,Land,Solid,Large,-2,-1.0,Animal_Land_Solid_Large
71,71,w2b4a70d,5,Animal_Land_Solid_Small,"{""Q0"":""-2""}",-2.0,Animal,Land,Solid,Small,-1,1.0,Animal_Land_Solid_Small
72,72,w2b4a70d,6,Animal_Land_Solid_Large,"{""Q0"":""+2""}",2.0,Animal,Land,Solid,Large,-1,-3.0,Animal_Land_Solid_Large
73,73,w2b4a70d,6,Object_Sea_Pattern_Small,"{""Q0"":""-1""}",-1.0,Object,Sea,Pattern,Small,1,2.0,Object_Sea_Pattern_Small
74,74,w2b4a70d,6,Animal_Land_Pattern_Large,"{""Q0"":""-2""}",-2.0,Animal,Land,Pattern,Large,-1,1.0,Animal_Land_Pattern_Large
75,75,w2b4a70d,6,Animal_Sea_Pattern_Small,"{""Q0"":""+1""}",1.0,Animal,Sea,Pattern,Small,2,1.0,Animal_Sea_Pattern_Small
76,76,w2b4a70d,6,Animal_Sea_Solid_Small,"{""Q0"":""-2""}",-2.0,Animal,Sea,Solid,Small,-2,0.0,Animal_Sea_Solid_Small
77,77,w2b4a70d,6,Animal_Land_Pattern_Small,"{""Q0"":""+1""}",1.0,Animal,Land,Pattern,Small,1,0.0,Animal_Land_Pattern_Small
78,78,w2b4a70d,7,Animal_Land_Pattern_Small,"{""Q0"":""-1""}",-1.0,Animal,Land,Pattern,Small,-1,0.0,Animal_Land_Pattern_Small
79,79,w2b4a70d,7,Object_Sea_Solid_Large,"{""Q0"":""+2""}",2.0,Object,Sea,Solid,Large,-2,-4.0,Object_Sea_Solid_Large
80,80,w2b4a70d,7,Object_Land_Solid_Large,"{""Q0"":""-1""}",-1.0,Object,Land,Solid,Large,-2,-1.0,Object_Land_Solid_Large
81,81,w2b4a70d,7,Object_Land_Pattern_Large,"{""Q0"":""-2""}",-2.0,Object,Land,Pattern,Large,2,4.0,Object_Land_Pattern_Large
82,82,w2b4a70d,7,Animal_Sea_Pattern_Large,"{""Q0"":""+2""}",2.0,Animal,Sea,Pattern,Large,2,0.0,Animal_Sea_Pattern_Large
83,83,w2b4a70d,7,Object_Sea_Pattern_Large,"{""Q0"":""-1""}",-1.0,Object,Sea,Pattern,Large,2,3.0,Object_Sea_Pattern_Large
84,84,w8f710ed,1,Object_Sea_Solid_Small,"{""Q0"":""-2""}",-2.0,Object,Sea,Solid,Small,-2,0.0,Object_Sea_Solid_Small
85,85,w8f710ed,1,Animal_Sea_Solid_Large,"{""Q0"":""+1""}",1.0,Animal,Sea,Solid,Large,-1,-2.0,Animal_Sea_Solid_Large
86,86,w8f710ed,1,Object_Sea_Pattern_Large,"{""Q0"":""+1""}",1.0,Object,Sea,Pattern,Large,1,0.0,Object_Sea_Pattern_Large
87,87,w8f710ed,1,Animal_Land_Solid_Large,"{""Q0"":""+1""}",1.0,Animal,Land,Solid,Large,1,0.0,Animal_Land_Solid_Large
88,88,w8f710ed,1,Animal_Sea_Pattern_Large,"{""Q0"":""+1""}",1.0,Animal,Sea,Pattern,Large,1,0.0,Animal_Sea_Pattern_Large
89,89,w8f710ed,1,Object_Land_Solid_Large,"{""Q0"":""-2""}",-2.0,Object,Land,Solid,Large,-2,0.0,Object_Land_Solid_Large
90,90,w8f710ed,2,Object_Land_Solid_Large,"{""Q0"":""+2""}",2.0,Object,Land,Solid,Large,2,0.0,Object_Land_Solid_Large
91,91,w8f710ed,2,Object_Sea_Solid_Small,"{""Q0"":""-1""}",-1.0,Object,Sea,Solid,Small,-1,0.0,Object_Sea_Solid_Small
92,92,w8f710ed,2,Animal_Sea_Solid_Large,"{""Q0"":""+1""}",1.0,Animal,Sea,Solid,Large,1,0.0,Animal_Sea_Solid_Large
93,93,w8f710ed,2,Object_Land_Pattern_Small,"{""Q0"":""-1""}",-1.0,Object,Land,Pattern,Small,-1,0.0,Object_Land_Pattern_Small
94,94,w8f710ed,2,Object_Sea_Solid_Large,"{""Q0"":""+2""}",2.0,Object,Sea,Solid,Large,2,0.0,Object_Sea_Solid_Large
95,95,w8f710ed,2,Animal_Sea_Solid_Small,"{""Q0"":""-1""}",-1.0,Animal,Sea,Solid,Small,-1,0.0,Animal_Sea_Solid_Small
96,96,w8f710ed,3,Object_Sea_Solid_Large,"{""Q0"":""-1""}",-1.0,Object,Sea,Solid,Large,1,2.0,Object_Sea_Solid_Large
97,97,w8f710ed,3,Animal_Sea_Pattern_Small,"{""Q0"":""+1""}",1.0,Animal,Sea,Pattern,Small,-1,-2.0,Animal_Sea_Pattern_Small
98,98,w8f710ed,3,Object_Sea_Pattern_Large,"{""Q0"":""-1""}",-1.0,Object,Sea,Pattern,Large,1,2.0,Object_Sea_Pattern_Large
99,99,w8f710ed,3,Object_Sea_Pattern_Small,"{""Q0"":""+2""}",2.0,Object,Sea,Pattern,Small,2,0.0,Object_Sea_Pattern_Small
100,100,w8f710ed,3,Animal_Land_Solid_Small,"{""Q0"":""-1""}",-1.0,Animal,Land,Solid,Small,-2,-1.0,Animal_Land_Solid_Small
101,101,w8f710ed,3,Object_Sea_Solid_Small,"{""Q0"":""-1""}",-1.0,Object,Sea,Solid,Small,-1,0.0,Object_Sea_Solid_Small
102,102,w8f710ed,4,Object_Land_Solid_Small,"{""Q0"":""-1""}",-1.0,Object,Land,Solid,Small,-2,-1.0,Object_Land_Solid_Small
103,103,w8f710ed,4,Object_Sea_Pattern_Small,"{""Q0"":""-1""}",-1.0,Object,Sea,Pattern,Small,-1,0.0,Object_Sea_Pattern_Small
104,104,w8f710ed,4,Object_Land_Pattern_Small,"{""Q0"":""+1""}",1.0,Object,Land,Pattern,Small,2,1.0,Object_Land_Pattern_Small
105,105,w8f710ed,4,Object_Sea_Solid_Small,"{""Q0"":""-1""}",-1.0,Object,Sea,Solid,Small,-1,0.0,Object_Sea_Solid_Small
106,106,w8f710ed,4,Object_Land_Pattern_Large,"{""Q0"":""+2""}",2.0,Object,Land,Pattern,Large,2,0.0,Object_Land_Pattern_Large
107,107,w8f710ed,4,Animal_Sea_Pattern_Large,"{""Q0"":""+1""}",1.0,Animal,Sea,Pattern,Large,1,0.0,Animal_Sea_Pattern_Large
108,108,w8f710ed,5,Object_Land_Pattern_Small,"{""Q0"":""-1""}",-1.0,Object,Land,Pattern,Small,-1,0.0,Object_Land_Pattern_Small
109,109,w8f710ed,5,Animal_Sea_Pattern_Small,"{""Q0"":""+1""}",1.0,Animal,Sea,Pattern,Small,1,0.0,Animal_Sea_Pattern_Small
110,110,w8f710ed,5,Animal_Land_Pattern_Small,"{""Q0"":""-1""}",-1.0,Animal,Land,Pattern,Small,-1,0.0,Animal_Land_Pattern_Small
111,111,w8f710ed,5,Object_Land_Solid_Small,"{""Q0"":""+1""}",1.0,Object,Land,Solid,Small,1,0.0,Object_Land_Solid_Small
112,112,w8f710ed,5,Animal_Sea_Solid_Small,"{""Q0"":""+2""}",2.0,Animal,Sea,Solid,Small,2,0.0,Animal_Sea_Solid_Small
113,113,w8f710ed,5,Object_Land_Pattern_Large,"{""Q0"":""-1""}",-1.0,Object,Land,Pattern,Large,-1,0.0,Object_Land_Pattern_Large
114,114,w8f710ed,6,Object_Sea_Solid_Large,"{""Q0"":""-1""}",-1.0,Object,Sea,Solid,Large,-1,0.0,Object_Sea_Solid_Large
115,115,w8f710ed,6,Animal_Sea_Pattern_Large,"{""Q0"":""+1""}",1.0,Animal,Sea,Pattern,Large,2,1.0,Animal_Sea_Pattern_Large
116,116,w8f710ed,6,Animal_Land_Pattern_Large,"{""Q0"":""-1""}",-1.0,Animal,Land,Pattern,Large,-1,0.0,Animal_Land_Pattern_Large
117,117,w8f710ed,6,Animal_Sea_Pattern_Small,"{""Q0"":""+2""}",2.0,Animal,Sea,Pattern,Small,2,0.0,Animal_Sea_Pattern_Small
118,118,w8f710ed,6,Animal_Land_Pattern_Small,"{""Q0"":""-1""}",-1.0,Animal,Land,Pattern,Small,2,3.0,Animal_Land_Pattern_Small
119,119,w8f710ed,6,Animal_Land_Solid_Large,"{""Q0"":""+1""}",1.0,Animal,Land,Solid,Large,-2,-3.0,Animal_Land_Solid_Large
120,120,w8f710ed,7,Object_Land_Solid_Small,"{""Q0"":""-1""}",-1.0,Object,Land,Solid,Small,-1,0.0,Object_Land_Solid_Small
121,121,w8f710ed,7,Animal_Land_Pattern_Small,"{""Q0"":""+2""}",2.0,Animal,Land,Pattern,Small,2,0.0,Animal_Land_Pattern_Small
122,122,w8f710ed,7,Animal_Land_Solid_Small,"{""Q0"":""-1""}",-1.0,Animal,Land,Solid,Small,-1,0.0,Animal_Land_Solid_Small
123,123,w8f710ed,7,Object_Sea_Pattern_Small,"{""Q0"":""+1""}",1.0,Object,Sea,Pattern,Small,1,0.0,Object_Sea_Pattern_Small
124,124,w8f710ed,7,Animal_Land_Pattern_Large,"{""Q0"":""+2""}",2.0,Animal,Land,Pattern,Large,2,0.0,Animal_Land_Pattern_Large
125,125,w8f710ed,7,Object_Land_Pattern_Large,"{""Q0"":""-1""}",-1.0,Object,Land,Pattern,Large,-1,0.0,Object_Land_Pattern_Large
126,126,wd697686,1,Animal_Sea_Solid_Small,"{""Q0"":""-2""}",-2.0,Animal,Sea,Solid,Small,-2,0.0,Animal_Sea_Solid_Small
127,127,wd697686,1,Object_Sea_Pattern_Large,"{""Q0"":""+2""}",2.0,Object,Sea,Pattern,Large,2,0.0,Object_Sea_Pattern_Large
128,128,wd697686,1,Object_Sea_Solid_Large,"{""Q0"":""+2""}",2.0,Object,Sea,Solid,Large,2,0.0,Object_Sea_Solid_Large
129,129,wd697686,1,Animal_Land_Solid_Small,"{""Q0"":""+1""}",1.0,Animal,Land,Solid,Small,2,1.0,Animal_Land_Solid_Small
130,130,wd697686,1,Object_Sea_Solid_Small,"{""Q0"":""-1""}",-1.0,Object,Sea,Solid,Small,-1,0.0,Object_Sea_Solid_Small
131,131,wd697686,1,Animal_Sea_Pattern_Small,"{""Q0"":""+2""}",2.0,Animal,Sea,Pattern,Small,-2,-4.0,Animal_Sea_Pattern_Small
132,132,wd697686,2,Animal_Land_Solid_Large,"{""Q0"":""-2""}",-2.0,Animal,Land,Solid,Large,-2,0.0,Animal_Land_Solid_Large
133,133,wd697686,2,Animal_Land_Pattern_Large,"{""Q0"":""+1""}",1.0,Animal,Land,Pattern,Large,1,0.0,Animal_Land_Pattern_Large
134,134,wd697686,2,Object_Land_Solid_Large,"{""Q0"":""+2""}",2.0,Object,Land,Solid,Large,2,0.0,Object_Land_Solid_Large
135,135,wd697686,2,Object_Land_Solid_Small,"{""Q0"":""-1""}",-1.0,Object,Land,Solid,Small,-1,0.0,Object_Land_Solid_Small
136,136,wd697686,2,Object_Land_Pattern_Small,"{""Q0"":""+2""}",2.0,Object,Land,Pattern,Small,2,0.0,Object_Land_Pattern_Small
137,137,wd697686,2,Object_Sea_Solid_Small,"{""Q0"":""-1""}",-1.0,Object,Sea,Solid,Small,-2,-1.0,Object_Sea_Solid_Small
138,138,wd697686,3,Animal_Sea_Pattern_Large,"{""Q0"":""-2""}",-2.0,Animal,Sea,Pattern,Large,-1,1.0,Animal_Sea_Pattern_Large
139,139,wd697686,3,Object_Sea_Solid_Large,"{""Q0"":""+2""}",2.0,Object,Sea,Solid,Large,2,0.0,Object_Sea_Solid_Large
140,140,wd697686,3,Animal_Land_Pattern_Large,"{""Q0"":""+1""}",1.0,Animal,Land,Pattern,Large,1,0.0,Animal_Land_Pattern_Large
141,141,wd697686,3,Animal_Sea_Pattern_Small,"{""Q0"":""-1""}",-1.0,Animal,Sea,Pattern,Small,-1,0.0,Animal_Sea_Pattern_Small
142,142,wd697686,3,Animal_Land_Pattern_Small,"{""Q0"":""-2""}",-2.0,Animal,Land,Pattern,Small,-2,0.0,Animal_Land_Pattern_Small
143,143,wd697686,3,Object_Sea_Pattern_Small,"{""Q0"":""+2""}",2.0,Object,Sea,Pattern,Small,2,0.0,Object_Sea_Pattern_Small
144,144,wd697686,4,Animal_Land_Pattern_Small,"{""Q0"":""+1""}",1.0,Animal,Land,Pattern,Small,1,0.0,Animal_Land_Pattern_Small
145,145,wd697686,4,Animal_Sea_Solid_Small,"{""Q0"":""-2""}",-2.0,Animal,Sea,Solid,Small,-2,0.0,Animal_Sea_Solid_Small
146,146,wd697686,4,Animal_Sea_Pattern_Small,"{""Q0"":""+1""}",1.0,Animal,Sea,Pattern,Small,-2,-3.0,Animal_Sea_Pattern_Small
147,147,wd697686,4,Animal_Sea_Solid_Large,"{""Q0"":""+1""}",1.0,Animal,Sea,Solid,Large,1,0.0,Animal_Sea_Solid_Large
148,148,wd697686,4,Animal_Sea_Pattern_Large,"{""Q0"":""-2""}",-2.0,Animal,Sea,Pattern,Large,-2,0.0,Animal_Sea_Pattern_Large
149,149,wd697686,4,Object_Land_Pattern_Large,"{""Q0"":""+2""}",2.0,Object,Land,Pattern,Large,2,0.0,Object_Land_Pattern_Large
150,150,wd697686,5,Object_Sea_Pattern_Large,"{""Q0"":""+2""}",2.0,Object,Sea,Pattern,Large,2,0.0,Object_Sea_Pattern_Large
151,151,wd697686,5,Object_Sea_Pattern_Small,"{""Q0"":""-1""}",-1.0,Object,Sea,Pattern,Small,-1,0.0,Object_Sea_Pattern_Small
152,152,wd697686,5,Animal_Sea_Pattern_Small,"{""Q0"":""+2""}",2.0,Animal,Sea,Pattern,Small,1,-1.0,Animal_Sea_Pattern_Small
153,153,wd697686,5,Object_Land_Pattern_Small,"{""Q0"":""-1""}",-1.0,Object,Land,Pattern,Small,-1,0.0,Object_Land_Pattern_Small
154,154,wd697686,5,Animal_Sea_Solid_Large,"{""Q0"":""-1""}",-1.0,Animal,Sea,Solid,Large,-2,-1.0,Animal_Sea_Solid_Large
155,155,wd697686,5,Object_Sea_Solid_Large,"{""Q0"":""+2""}",2.0,Object,Sea,Solid,Large,2,0.0,Object_Sea_Solid_Large
156,156,wd697686,6,Object_Land_Pattern_Small,"{""Q0"":""-2""}",-2.0,Object,Land,Pattern,Small,1,3.0,Object_Land_Pattern_Small
157,157,wd697686,6,Animal_Land_Pattern_Large,"{""Q0"":""+1""}",1.0,Animal,Land,Pattern,Large,1,0.0,Animal_Land_Pattern_Large
158,158,wd697686,6,Object_Land_Solid_Small,"{""Q0"":""-2""}",-2.0,Object,Land,Solid,Small,-2,0.0,Object_Land_Solid_Small
159,159,wd697686,6,Animal_Land_Solid_Small,"{""Q0"":""+2""}",2.0,Animal,Land,Solid,Small,-2,-4.0,Animal_Land_Solid_Small
160,160,wd697686,6,Object_Sea_Solid_Small,"{""Q0"":""-1""}",-1.0,Object,Sea,Solid,Small,-1,0.0,Object_Sea_Solid_Small
161,161,wd697686,6,Animal_Land_Solid_Large,"{""Q0"":""-2""}",-2.0,Animal,Land,Solid,Large,1,3.0,Animal_Land_Solid_Large
162,162,wd697686,7,Animal_Sea_Solid_Small,"{""Q0"":""-2""}",-2.0,Animal,Sea,Solid,Small,-2,0.0,Animal_Sea_Solid_Small
163,163,wd697686,7,Object_Sea_Solid_Large,"{""Q0"":""+2""}",2.0,Object,Sea,Solid,Large,2,0.0,Object_Sea_Solid_Large
164,164,wd697686,7,Object_Sea_Pattern_Small,"{""Q0"":""-2""}",-2.0,Object,Sea,Pattern,Small,-1,1.0,Object_Sea_Pattern_Small
165,165,wd697686,7,Object_Land_Pattern_Large,"{""Q0"":""+2""}",2.0,Object,Land,Pattern,Large,2,0.0,Object_Land_Pattern_Large
166,166,wd697686,7,Object_Land_Solid_Large,"{""Q0"":""+2""}",2.0,Object,Land,Solid,Large,2,0.0,Object_Land_Solid_Large
167,167,wd697686,7,Object_Sea_Solid_Small,"{""Q0"":""-1""}",-1.0,Object,Sea,Solid,Small,-2,-1.0,Object_Sea_Solid_Small
168,168,w31bcaa3,1,Animal_Land_Pattern_Small,"{""Q0"":""+1""}",1.0,Animal,Land,Pattern,Small,-2,-3.0,Animal_Land_Pattern_Small
169,169,w31bcaa3,1,Object_Sea_Pattern_Small,"{""Q0"":""-2""}",-2.0,Object,Sea,Pattern,Small,1,3.0,Object_Sea_Pattern_Small
